"Action","操作"
"All types","所有類型"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","備份文件不存在"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","備份"
"Cannot read backup file","無法讀取備份文件"
"Create Backup","生成備份"
"DB","DB "
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","下載"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","文件用Zlib壓縮，但是服務器上沒有安裝這個模塊"
"Size, byte","Size, byte"
"Time","時間"
"Type","類型"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","生成新的備份次序錯誤"
