"%s was successfully added to your shopping cart.","成功將%s加入購物車。 "
"&laquo; Back to Billing Information","&laquo;返回賬單信息"
"&laquo; Back to Select Addresses","&laquo;返回選擇地址"
"&laquo; Back to Shopping Cart","&laquo;返回購物車"
"* Required Fields","*必填欄目"
"Add New Address","增加新地址"
"Add New Condition","Add New Condition"
"Add to Cart","加入購物車"
"Add to Compare","加入比較"
"Add to Wishlist","加入收藏"
"Address","Address "
"Address %s of %s","第%s個地址，共%s個"
"After adding a product redirect to shopping cart","加入商品後轉到購物車"
"Allow Guest Checkout","允許訪客結帳"
"Already registered?","已註冊？ "
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","使用優惠券"
"Are you sure you would like to remove this item from the shopping cart?","您確認要從購物車中刪除該商品嗎？ "
"Back","返回"
"Back to Shipping Information","返回配送信息"
"Based on your selection, you may be interested in the following items:","基於您的選擇，您也許對以下商品感興趣： "
"Billing Address","賬單地址"
"Billing Information","賬單信息"
"Billing Information - %s","賬單信息- %s "
"Can not add item to shopping cart","無法加入購物車"
"Can not apply coupon code.","無法使用優惠券。 "
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancel Coupon"
"Cannot remove item","無法刪除商品"
"Cannot update shopping cart","無法更新購物車"
"Card Verification Number Visual Reference","信用卡校驗碼可視參照"
"Cart Subtotal:","購物車小計： "
"Change","Change"
"Change Billing Address","修改賬單地址"
"Checkbox text","Checkbox text"
"Checkout","結帳"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","結帳選項"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","訪客結帳"
"Checkout as a Guest or Register","訪客結帳或註冊"
"Checkout method","結帳方式"
"Checkout with Multiple Addresses","用多個地址結帳"
"City","城市"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","關閉"
"Company","公司"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","可設置的商品圖片"
"Confirm Password","確認密碼"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue to Billing Information","繼續賬單信息"
"Continue to Review Your Order","繼續查看訂單"
"Continue to Shipping Information","繼續配送信息"
"Country","國家"
"Coupon code ""%s"" is not valid.","優惠券代碼""%s""不正確"
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","創建賬單地址"
"Create Shipping Address","創建配送地址"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","保存數據錯誤"
"Default Billing","缺省賬單"
"Default Shipping","缺省配送"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","優惠券代碼"
"Display Cart Summary","顯示購物車摘要"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
