"%s is not correct comparsion method.","%s geçerli bir karşılaştırma yöntemi değil."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Lütfen not ediniz</strong>, Bu ayarlar sadece sepetteki ürün satırları için geçerlidir, sepetin tamamına etki etmez."
"Allow Qty Below 0","Sıfırın altındaki adetlere izin ver"
"Allow Qty Below 0 and Notify Customer","Sıfırın altındaki adetlere izin ver ancak müşteriye bildir"
"Backorders","Ardısmarlama (Stokta olmayan ürünü ısmarlama)"
"By Fixed value","Sabit fiyatlı"
"By Percentage","Yüzde ile"
"Can not specify product identifier for order item","Ürün siparişi için gerekli ürün bilgisi belirlenmedi"
"Catalog Inventory","Katalog Envanteri"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoktan düş"
"In Stock","Stokta var"
"Inventory","Envanter"
"Inventory API","Envanter API si"
"Inventory Section","Envanter Bölümü"
"Manage Stock","Stok Yönetimi"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek adet"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük adet"
"No Backorders","Ardısmarlama kabul edilmez"
"Notify for Quantity Below","Stok alarmı için en düşük rakam"
"Out of Stock","Stokta Yok"
"Product Stock Options","Ürün Stok Seçenekleri"
"Qty for Items' Status to become Out of Stock","Ürünün 'Stokta Yok' gözükmesi için gerekli adet"
"Retrieve stock data","Stok bilgisi al"
"Retrieve stock data by product ids","Ürün numaralarına göre stok bilgisi al"
"Rule price","Kural fiyatı"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde ürünü stoğa iade et ve Stokta Var olarak göster"
"Some of the products are currently out of stock","Ürünlerden biri veya birkaçı stokta yok"
"Some of the products can not be ordered in requested quantity","Ürünlerden biri veya birkaçı istenen adette sipariş edilmedi"
"Some of the products cannot be ordered in the requested quantity","Ürünlerden biri veya birkaçı istenen adette sipariş edilmedi"
"Stock Options","Stok Seçenekleri"
"Stock item for Product in option is not valid","Ürün seçeneklerindeki stok verisi geçersiz"
"Stock item for Product is not valid","Ürünün stok verisi geçersiz"
"The maximum quantity allowed for purchase is %s.","Ürün için izin verilen en az sipariş adedi : %s. "
"The minimum quantity allowed for purchase is %s.","Ürün için izin verilen en çok sipariş adedi : %s."
"The requested quantity for ""%s"" is not available.","""%s"" adlı ürün için talep ettiğiniz miktar stokta bulunmamaktadır."
"The requested quantity is not available.","İstenen miktar bulunmamaktadır."
"This product is currently out of stock.","Ürün stokta yok."
"To Fixed Value","Sabit Fiyatlı"
"To Percentage","Yüzdeli"
"Update","Güncelle"
"Update product stock data","Ürün stok verisini güncelle"
"Update the Product","Ürünü Güncelle"
