"--Select--","--Seç--"
"Add New Option","Yeni Seçenek Ekle"
"Add Selection","Seçim Ekle"
"As low as","En Düşük"
"Bundle Items","Hediye Ürünler"
"Bundle Product","Hediye Ürün"
"Buy %1$s with %2$s discount each","%1$s ile %2$s alırsanız ikisini de indirimli alırsınız"
"Checkbox","Onay Kutusu"
"Choose a selection...","Seçiniz..."
"Close","Kapat"
"Default","Varsayılan"
"Default Qty","Varsayılan Adet"
"Default Title","Varsayılan Başlık"
"Drop-down","Açılır Menü"
"Dynamic","Dinamik"
"Excl. Tax","Vergi Hariç"
"Fixed","Sabit"
"From","Kimden"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Incl. Tax","Vergi Dahil"
"Input Type","Giriş Tipi"
"Is Required","Zorunlu"
"Message:","Mesaj:"
"Multiple Select","Çoklu Seçim"
"N/A","Yok"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"None","Yok"
"Percent","Hiçbiri"
"Percent Discount","İndirim Yüzdesi"
"Please enter search conditions to view products.","Ürünleri görmek için arama kelimelerini giriniz."
"Please select options for product.","Lütfen ürün için seçenek seçiniz."
"Please select products to add","Eklenecek ürünleri seçiniz"
"Please specify product option(s)","Ürün seçeneklerini belirleyiniz"
"Position","Pozisyon"
"Price Range","Fiyat Aralığı"
"Price Type","Fiyat Tipi"
"Price as configured","Ayarlanan fiyat"
"Qty:","Adet:"
"Radio Buttons","Çoktan Seçmeli Butonlar"
"Required options not selected.","Gerekli seçenekler seçilmedi."
"Selected required options not available.","Seçilen zorunlu seçenekler bulunamadı."
"Separately","Ayrı"
"Ship Bundle Items","Hediye Ürünleri Teslim Et"
"Shipment","Teslimat"
"Store View Title","Mağaza Görünüm Başlığı"
"There is no defined renderer for ""%s"" option type","""%s"" seçenek tipi için varsayılan bir işleyici yok"
"This product is also part of bundle(s)","Bu ürün zaten hediye ürünlerden biri"
"To","Kime"
"To:","Kime:"
"Together","Beraber"
"User Defined Qty","Kullanıcı Tarafından Seçilen Adet"
