"%s Item(s)","%s Ürün"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2009. Tüm hakları saklıdır."
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Sol tık yapın veya fareyi basılı tutarken sürükleyin"
"(ver. %s)","(vers. %s)"
"- Click on any of the time parts to increase it","- Herhangi bir zaman bölmesine tıklayıp değerini artırabilirsiniz"
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim yapmak için yukarıdaki butonların üzerinde fareyi basılı tutunuz."
"- Use the %s buttons to select month","- Ay seçmek için %s butonlarını kullanınız"
"- Use the %s, %s buttons to select year","- Ay seçmek için %s, %s butonlarını kullanınız"
"- or Shift-click to decrease it","- veya azaltmak için Shift-sol tık yapınız"
"- or click and drag for faster selection.","- veya fare tuşu basılıyken sürükleyiniz."
"About the calendar","Takvim hakkında"
"Click <a href=""%s"">here</a> if nothing has happened","Hiç bir şey olmadıysa <a href=""%s"">buraya tıklayınız</a>"
"Close","Kapat"
"Close Window","Pencereyi Kapat"
"DHTML Date/Time Selector","DHTML Tarih/Saat seçici"
"Date selection:","Tarih Seçimi :"
"Default Description","Varsayılan Meta Açıklama (Description)"
"Default welcome msg!","Hoşgeldiniz !"
"Display %s first","Önce %s göster"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL Lisansıyla dağıtılmaktadır. Detaylar için %s."
"Drag to move","Taşımak için sürükleyiniz"
"For latest version visit: %s","Son sürüm için : %s"
"Go Today","Bugüne git"
"Help Us to Keep Magento Healthy","Magento'nun sağlıklı çalışması için bize yardımcı olun"
"Interface Language","Arayüz Dili"
"Items %s to %s of %s total","Gösterilen %s - %s / Toplam : %s "
"Next Page","Sonraki Sayfa"
"Next month (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Next year (hold for menu)","Sonraki yıl (menü için basılı tutunuz)"
"Page:","Sayfa :"
"Prev. month (hold for menu)","Önceki Ay (menü için basılı tutunuz)"
"Prev. year (hold for menu)","Önceki Yıl (menü için basılı tutunuz)"
"Previous Page","Önceki Sayfa"
"Redirecting...","Yönlendiriliyor..."
"Report All Bugs","Hataları Raporla"
"Select Store","Mağaza Seç"
"Select date","Tarih seçiniz"
"Show","Göster"
"Skip to Footer","Alt kısma atla"
"Skip to Left Column","Sol kolona atla"
"Skip to Main Content","Ana İçeriğe Geç"
"Skip to Right Column","Sağ kolona atla"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Bu bir demo mağazadır. Vereceğiniz siparişler ve yaptığınız işlemler dikkate alınmayacaktır."
"Time selection:","Zaman seçimi :"
"Time:","Zaman :"
"Welcome, %s!","Hoşgeldiniz, %s!"
"You're currently on:","Şu an buradasınız :"
"Your Language","Kullandığınız Dil"
"Your Language:","Seçtiğiniz Dil :"
"per page","sayfa başı"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
