" Copy"," Kopyala"
"Action","İşlem"
"Add New Template","Yeni Tema Ekle"
"Add to Queue","Kuyruğa Ekle"
"Are you sure that you want to delete this template?","Bu Temau silmek istediğinizden emin misiniz ?"
"Are you sure that you want to strip all tags?","Bütün HTML taglarını kaldırmak istediğinizden emin misiniz ?"
"Back","Geri"
"Cancel","İptal"
"Cancelled","İptal edildi"
"Cannot delete subscriber","Abone silinemedi"
"Cannot delete template","Tema silinemedi"
"Cannot mark as received subscriber","Alınan abone olarak işaretlenemedi"
"Cannot save your subscription: %s","Aboneliğiniz kaydedilemedi : %s"
"Confirmation Email Sender","Onay E-Maili için Gönderici"
"Confirmation Email Template","Onay E-Maili Teması"
"Confirmation request has been sent","Onay isteği gönderildi"
"Convert to Plain Text","Düz yazıya çevir"
"Create Newsletter Template","Duyuru Temau oluştur"
"Customer","Müşteri"
"Customer Firstname","Müşteri Adı"
"Customer Lastname","Müşteri Soyadı"
"Date Added","Eklendiği Tarih"
"Date Updated","Güncellendiği Tarih"
"Delete Selected Problems","Seçili problemleri sil"
"Delete Template","Temayı Sil"
"Do you really want to cancel the queue?","Kuyruğu iptal etmek istediğinizden emin misiniz ?"
"Duplicate of template code","Tema kodunun aynısı"
"Edit Newsletter","Duyuruyu Düzenle"
"Edit Newsletter Template","Duyuru Temasını Düzenle"
"Edit Queue","Kuyruğu Düzenle"
"Edit Template","Temayı Düzenle"
"Email","Email"
"Enter your email address","E-mail adresinizi giriniz"
"Error Code","Hata Kodu"
"Error Text","Hata Mesajı"
"Form was filled incorrectly","Form hatalı dolduruldu"
"Guest","Misafir"
"ID","No"
"Invalid queue selected","Yanlış kuyruk seçildi"
"Invalid subscriber ID","Hatalı abone numarası"
"Invalid subscription ID","Hatalı abonelik numarası"
"Invalid subscription confirmation code","Hatalı abone onay kodu"
"Message","Mesaj"
"Need to Confirm","Onay bekliyor"
"New Newsletter Template","Yeni Duyuru Teması"
"New Template","Yeni Duyuru Teması"
"Newsletter","Duyuru"
"Newsletter Message Preview","Duyuru Mesajı Önizleme"
"Newsletter Problem Reports","Duyuru Gönderimi Problem Raporları"
