"Alert Email Sender","Alarm Mailleri Göndericisi"
"Alert subscription was deleted successfully","Alarm üyeliği silindi"
"Alert subscription was saved successfully","Alarm üyeliği eklendi"
"Allow alert when product comes back in stock","Ürün stoklara girdiğinde alarm mailleri gönderilmesine izin ver"
"Allow alert when product price changes","Fiyat değişiminde alarm mailleri gönderilmesine izin ver"
"Click here not to receive alerts for this product","Bu ürün için alarm almak istemiyorsanız BURAYA tıklayınız"
"Error Email Recipient","Hata E-Maili Alıcısı"
"Error Email Sender","Hata E-Maili Göndericisi"
"Error Email Template","Hata E-Maili Şablonu"
"Frequency","Aralık"
"Not enough parameters","Yetersiz parametre"
"Please try again later","Lütfen daha sonra tekrar deneyiniz"
"Price alert Email Template","Fiyat Alarmı mail şablonu"
"Price:","Fiyat :"
"Product Alerts","Ürün Alarmları"
"Product Alerts Run Settings","Ürün Alarmları Çalışma Ayarları"
"Product alerts Cron error","Ürün Alarmları için Zamanlama hatası"
"Product not found","Ürün bulunamadı"
"Product price alert","Ürün Fiyat Değişimi Alarmı"
"Product stock alert","Ürün Stok Değişimi Alarmı"
"Sign up for price alert","Fiyat değişim alarmına abone ol"
"Sign up to get notified when this product is back in stock","Bu ürün stoklara girdiğinde uyarılmak için listeye eklenmelisiniz"
"Special price:","Özel Fiyat :"
"Start Time","Başlama Zamanı"
"Stock alert Email Template","Stok değişim alarmına abone ol"
"Unsubscribe from all price alerts","Bütün fiyat değişim alarmlarını iptal et"
"Unsubscribe from all stock alerts","Bütün stok değişim alarmlarını iptal et"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bu mesajı sitemizde stok değişim alarmına abone olduğunuz için alıyorsunuz :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bu mesajı sitemizde fiyat değişim alarmına abone olduğunuz için alıyorsunuz :"
"You will no longer receive price alerts for this product","Artık bu ürün için fiyat değişim alarmı almayacaksınız."
"You will no longer receive stock alerts","Artık stok değişim alarmı almayacaksınız"
"You will no longer receive stock alerts for this product","Artık bu ürün için stok değişim alarmı almayacaksınız"
