"All Websites","Bütün Web Siteleri"
"Apply Percent Discounts To FPT","Yüzde bazlı indirimleri FPT'ye uygula"
"Apply Tax To FPT","FPT'ye vergi uygula"
"Display Prices In Emails","E-maillerde Fiyat Göster"
"Display Prices In Product Lists","Ürün Listelerinde Fiyat Göster"
"Display Prices In Sales Modules","Satış Modüllerinde Fiyat Göster"
"Display Prices On Product View Page","Ürün Gösterim Sayfasında Fiyat Göster"
"Enable FPT","FPT Açık"
"Excluding FPT","FPT Hariç Tutuluyor"
"Excluding FPT, FPT description, final price","FPT Hariç Tutuluyor, FPT açıklaması, son fiyat"
"Fixed Product Tax","Sabit Ürün Vergisi"
"Fixed Product Taxes","Sabit Ürün Vergileri"
"Include FPT In Subtotal","FPT Ara Toplama Eklensin"
"Including FPT and FPT description [excl. FPT VAT]","FPT ve FPT açıklaması dahil [FPT Vergisi hariç]"
"Including FPT and FPT description [incl. FPT VAT]","FPT ve FPT açıklaması dahil [FPT Vergisi dahil]"
"Including FPT only","Sadece FPT ekle"
"Total","Toplam"
"Total incl. tax","Toplam ( Vergi Dahil )"
