"(eg: domain.com/identifier)","(ör: domain.com/kelime)"
"Action","İşlem"
"Add New Block","Yeni Blok Ekle"
"Add New Page","Yeni Sayfa Ekle"
"All countries","Tüm ülkeler"
"Block Information","lok Bilgisi"
"Block Title","Blok Başlığı"
"Block was successfully deleted","Blok silindi"
"Block was successfully saved","Blok kaydedildi"
"CMS","İçerik Yönetimi (CMS)"
"CMS Home Page","İçerik Yönetimi Ana Sayfası"
"CMS No Route Page","İçerik Yönetimi Sayfa Bulunamadı Sayfası"
"Content","İçerik"
"Custom Design","Özel Tasarım"
"Custom Theme","Özel Tema"
"Custom Theme From","Özel tema kaynağı"
"Custom Theme To","Özel tema alıcısı"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Date Created","Oluşturulma Tarihi"
"Delete Block","Bloku Sil"
"Delete Page","Sayfayı Sil"
"Description","Açıklama"
"Disabled","Kapalı"
"Edit Block","Bloku Düzenle"
"Edit Block '%s'","Bloku Düzenle '%s'"
"Edit Page","Sayfayı Düzenle"
"Edit Page '%s'","Sayfayı Düzenle '%s'"
"Enabled","Aktif"
"General Information","Genel Bilgi"
"Go to Home Page","Ana Sayfaya Git"
"Home","Ana Sayfa"
"Identifier","Belirteç"
"Keywords","Anahtar Kelimeler"
"Last Modified","Son Güncellenme"
"Layout","Yapı"
"Layout Update XML","Yapı Güncelleme XML"
"Manage Pages","Sayfaları Yönet"
"Meta Data","Meta Bilgisi"
"Meta Description","Meta Açıklaması"
"Meta Keywords","Meta Anahtar Kelimeleri"
"New Block","Yeni Blok"
"New Page","Yeni Sayfa"
"Page Identifier cannot consist only of numbers.","Sayfa kimliği sadece numaralardan oluşmamalıdır."
"Page Identifier for specified store already exist.","Seçili mağaza için aynı adda bir Sayfa Kimliği zaten var."
"Page Information","Sayfa Bilgisi"
"Page Status","Sayfa Durumu"
"Page Title","Sayfa Başlığı"
"Page was successfully deleted","Sayfa silindi"
"Page was successfully saved","Sayfa kaydedildi"
"Poll Manager","Anket Yönetimi"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"SEF URL Identifier","SEF Adres Belirteci"
"Save Block","Bloku Kaydet"
"Save Page","Sayfayı Kaydet"
"Show breadcrumbs for CMS pages","İçerik Yönetimi Sayfaları için izler kullan"
"Static Blocks","Bloklar"
"Status","Durum"
"Store View","Mağaza Görünümü"
"Such a block identifier in selected store already exist.","Seçili mağaza için aynı adda bir Blok Kimliği zaten var."
"The page you are trying to save no longer exists","Kaydetmeye çalıştığınız sayfa yok"
"This block no longer exists","İstediğiniz Blok bulunamıyor"
"This page no longer exists","İstediğiniz Sayfa bulunamıyor"
"Title","Başlık"
"Unable to find a block to delete","Silinecek blok bulunamıyor"
"Unable to find a page to delete","Silinecek sayfa bulunamıyor"
