"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Kural Ekle"
"Apply","Uygula"
"Apply the rule only if the following conditions are met (leave blank for all products)","Eğer aşağıdaki durumlar oluştuysa kuralı çalıştır (her ürüne uygulamak için boş bırakınız)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Eğer alışveriş sepetinde aşağıdaki durumlar oluştuysa kuralı çalıştır  (her ürüne uygulamak için boş bırakınız)"
"Apply the rule to cart items matching the following conditions","Eğer alışveriş sepetindeki ürünlerde aşağıdaki durumlar oluştuysa o ürün için kuralı çalıştır"
"Apply to","Uygula"
"Buy X get Y free (discount amount is Y)","X i alırsan Y hediye (indirim miktarı Y'nin fiyatıdır)"
"By Fixed Amount","Sabit miktar"
"By Fixed value","Sabit oran (%)"
"By Percentage","Yüzde"
"By Percentage of the original price","Orjinal fiyatın yüzdesi"
"Cart Attribute","Sepet Özelliği"
"Catalog","Katalog"
"Conditions","Durumlar"
"Conditions combination","Durum listesi"
"Coupon Code","Kupon Kodu"
"Coupon code","Kupon kodu"
"Customer Groups","Müşteri Grupları"
"Customer is new buyer: %s","Müşterinin ilk alışverişi : %s"
"Customer registered: %s","Müşteri kayıt tarihi : %s"
"Date Expire","Bitiş Tarihi"
"Date Start","Başlama Tarihi"
"Delete Rule","Kuralı Sil"
"Description","Açıklama"
"Description: %s","Açıklama: %s"
"Discount Qty Step (Buy X)","İndirim Adet Adımı (X'i Satın Al)"
"Discount amount","İndirim miktarı"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Expire at: %s","Bitiş : %s"
"Fixed amount discount","Sabit miktarlı indirim"
"Fixed amount discount for whole cart","Siparişin tamamına sabit miktarlı indirim"
"For matching items only","Sadece eşleşen ürünlere"
"For shipment with matching items","Siparişte eşleşen ürünlere"
"Free shipping","Ücretsiz Teslimat"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"ID","No"
"Inactive","Pasif"
"Maximum Qty Discount is Applied to","En fazla adet indirimi uygulandı : "
"NOT LOGGED IN","GİRİŞ YAPMAMIŞ"
"Name: %s","Adı : %s"
"New Rule","Yeni Kural"
"No","Hayır"
"Payment Method","Ödeme Yöntemi"
"Percent of product price discount","Ürün fiyatından yüzde olarak indirim"
"Price in cart","Sepetteki Ücret"
"Priority","Önem"
"Product attribute combination","Ürün özellik kombinasyonu"
"Products subselection","Ürün alt-seçimi"
"Promotions","Promosyonlar"
"Public In RSS Feed","RSS Akışında genel kullanıma açık"
"Quantity in cart","Sepetteki adet"
"Row total in cart","Sepetteki satır toplamo"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Rule was successfully deleted","Kural silindi"
"Rule was successfully saved","Kural kaydedildi"
"Save Rule","Kuralı kaydet"
"Shipping Country","Kargo ülkesi"
"Shipping Method","Kargo yöntemi"
"Shipping Postcode","Kargo posta kodu"
"Shipping Region","Kargo bölgesi"
"Shipping State/Province","Kargo şehir"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"Shopping Cart Price Rules","Alışveriş Sepeti Fiyat Kuralları"
"Special price","Özel fiyat"
"Start at: %s","Başlangıç : %s"
"Status","Durum"
"Stop further rules processing","Çalışan kuralları durdur"
"Subtotal","Ara toplam"
"The page you are trying to save no longer exists","Kaydetmeye çalıştığınız sayfa bulunamıyor"
"This rule no longer exists","Kural bulunamıyor"
"To Date","Bitiş Tarihi"
"To Fixed Amount","Sabit miktara"
"To Fixed Value","Sabit değere"
"To Percentage","Yüzdeye"
"To Percentage of the original price","Orjinal fiyatın yüzdesine"
"Total Items Quantity","Ürünün sepetteki miktarına"
"Total Weight","Toplam Ağırlık"
"Unable to find a page to delete","Silinecek sayfa bulunamadı"
"Update prices using the following information","Aşağıdaki bilgiyi kullanarak fiyatları güncelle"
"Update product's %s %s: %s","Ürünleri güncelle %s %s: %s"
"Update the Product","Ürünü Güncelle"
"Uses per coupon","Kupon başı kullanım"
"Uses per customer","Müşteri başı kullanım"
"Yes","Evet"
