"ALL","HEPSİ"
"ANY","HERHANGİ BİRİ"
"Add","Ekle"
"Apply","Uygula"
"Description: %s","Açıklama: %s"
"Expire at: %s","Bitiş: %s"
"FALSE","YANLIŞ"
"If %s of these conditions are %s:","Eğer bu durum kayıtlarından %s tanesi %s ise :"
"Invalid discount amount.","Hatalı indirim oranı."
"MATCHING ALL","EŞLEŞENLERİN TAMAMI"
"MATCHING ANY","HERHANGİ BİR EŞLEŞEN"
"NOT MATCHING ALL","EŞLEŞMEYENLER"
"NOT MATCHING ANY","EŞLEŞMEYENLERDEN HERHANGİ BİRİ"
"Name: %s","Adı : %s"
"Open Chooser","Seçiciyi aç"
"Perform following actions","Aşağıdaki işlemleri yap"
"Please choose a condition to add...","Eklenecek durumu seçiniz..."
"Please choose an action to add...","Eklenecek işlemi seçiniz..."
"Remove","Sil"
"Start at: %s","Başlangıç tarihi : %s"
"TRUE","DOĞRU"
"by","tarafından"
"contains","içerir"
"does not contain","içermez"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","büyük"
"is"," "
"is not"," (değildir) "
"is not one of","bunlardan biri değil"
"is one of","bunlardan biri"
"less than","küçük"
"to"," -> "
