"* Required Fields","* Doldurulması zorunlu alanlar"
"Add","Ekle"
"Add Gift Message","Hediye Mesajı Ekle"
"Allow Gift Messages for Order Items","Her ürüne ayrı hediye mesajı girilebilsin"
"Allow Gift Messages on Order Level","Siparişin tamamı için tek hediye mesajı girilebilsin"
"Are you sure?","Emin misiniz ?"
"Cancel","İptal"
"Check this checkbox if you want to add gift messages to your items.","Bu ürüne Hediye Mesajı eklemek için BU KUTUYU işaretleyin."
"Check this checkbox if you want to add gift messages.","Hediye Mesajı eklemek için BU KUTUYU işaretleyin."
"Close","Kapat"
"Do you have any gift items in your order?","Sipariş ettiğiniz ürünler içinde hediye olan var mı ?"
"Edit","Düzenle"
"Edit Gift Message","Hediye Mesajı Düzenle"
"Enter a gift message for each item in your order.","Sepetinizdeki her ürün için bir hediye mesajı yazınız."
"Enter a gift message for entire order.","Siparişinizin tamamı için bir hediye mesajı yazınız."
"Enter a gift message for this address.","Bu adres için bir hediye mesajı yazınız."
"Error while saving gift message","Hediye mesajı kaydedilirken bir hata oluştu"
"From","Gönderici"
"Gift Message","Hediye Mesajı"
"Gift Messages","Hediye Mesajları"
"Gift message has been successfully saved","Hediye mesajı kaydedildi"
"Item %d of %d","Gösterilen : %d / Toplam : %d"
"Message","Mesaj"
"No","Hayır"
"Remove","Sil"
"Save","Kaydet"
"Save Gift Message","Hediye Mesajını Kaydet"
"To","Alıcı"
"Unknown entity type","Bilinmeyen entity tipi"
"Use config","Ayarları kullan"
"Yes","Evet"
"You can leave a box blank if you don't wish to add a gift message for the item.","Ürüne hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave a box blank if you don't wish to add a gift message for this address.","Adrese hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Siparişin tamamına hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"Your gift message has been successfully removed","Hediye mesajınız silindi"
"Your gift message has been successfully saved","Hediye mesajınız kaydedildi"
"Your gift message successfully removed","Hediye mesajınız silindi"
"Your gift message successfully saved","Hediye mesajınız kaydedildi"
