"%s was successfully added to your shopping cart.","%s sepetinize eklendi."
"&laquo; Back to Billing Information","&laquo; Fatura Bilgileri Bölümüne Dön"
"&laquo; Back to Select Addresses","&laquo; Seçilen Adreslere Dön"
"&laquo; Back to Shopping Cart","&laquo; Sepete Dön"
"* Required Fields","* Doldurulması zorunlu alanlar"
"Add New Address","Adres Ekle"
"Add New Condition","Yeni Durum Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Address","Adres"
"Address %s of %s","Adres %s - %s"
"After adding a product redirect to shopping cart","Ürün ekledikten sonra sepete yönlendir"
"Allow Guest Checkout","Kayıtlı olmayan kullanıcıların (Misafir) alışveriş yapmasına izin ver"
"Already registered?","Sitemize kayıtlı mısınız ?"
"An error occurred in the process of payment","Tahsilat işlemi esnasında hata oluştu"
"Apply Coupon","Kuponu Uygula"
"Are you sure you would like to remove this item from the shopping cart?","Bu ürünü sepetinizden silmek istediğinizden emin misiniz ?"
"Back","Geri"
"Back to Shipping Information","Teslimat Bilgileri Bölümüne Dön"
"Based on your selection, you may be interested in the following items:","Seçimlerinize bakarak aşağıdaki ürünlerin de ilginizi çekeceğini düşündük :"
"Billing Address","Fatura Adresi"
"Billing Information","Fatura Bilgisi"
"Billing Information - %s","Fatura Bilgisi - %s"
"Can not add item to shopping cart","Sepete ürün eklenemiyor"
"Can not apply coupon code.","Kupon Kodu uygulanamıyor."
"Can't open overview page","Genel görünüm sayfası açılamıyor"
"Cancel Coupon","Kuponu İptal Et"
"Cannot remove item","Ürün silinemiyor"
"Cannot update shopping cart","Sepet güncellenemiyor"
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Cart Subtotal:","Sipariş Ara Toplamı :"
"Change","Değiştir"
"Change Billing Address","Fatura Adresini Değiştir"
"Checkbox text","Onay Kutusu Yazısı"
"Checkout","Alışverişi Bitir"
"Checkout Conditions","Alışveriş Tamamlama Durumları"
"Checkout Options","Alışveriş Sonu Seçenekleri"
"Checkout Section","Alışveriş Tamamlama Bölümü"
"Checkout Terms and Conditions","Alışveriş Tamamlama Koşulları"
"Checkout as Guest","Misafir Olarak Alışverişi Bitir"
"Checkout as a Guest or Register","Misafir Olarak Alışverişi Bitir veya Üye Kaydı Yap"
"Checkout method","Alışveriş Bitirme Yöntemleri"
"Checkout with Multiple Addresses","Birden Fazla Adresle Alışverişi Bitir"
"City","İlçe"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Sipariş onayınızın bir kopyasını yazdırmak için <a href=""%s"" target=""_blank"">BURAYA TIKLAYINIZ</a>."
"Close","Kapat"
"Company","Firma"
"Condition Name","Durum Adı"
"Condition was successfully deleted","Durum kaydı silindi"
"Condition was successfully saved","Durum kaydedildi"
"Configurable product image","Ayarlanabilir Ürün Resmi"
"Confirm Password","Şifre (Tekrar)"
"Content","İçerik"
"Content Height","İçerik Yüksekliği"
"Content Height (css)","İçerik Yüksekliği (css)"
"Continue","Devam"
"Continue Shopping","Alışverişe Devam"
"Continue to Billing Information","Ödeme ve Fatura Bilgileri Sayfasına Devam Et"
"Continue to Review Your Order","Siparişini Kontrol Etmek için Devam Et"
"Continue to Shipping Information","Teslimat Bilgisi Sayfasına Devam Et"
"Country","Ülke"
"Coupon code ""%s"" is not valid."," ""%s"" numaralı kupon kodu hatalı."
"Coupon code ""%s"" was applied successfully.","Kupon kodu ""%s"" uygulandı."
"Coupon code was canceled successfully.","Kupon kodu iptal edildi."
"Create Billing Address","Fatura Adresi Ekle"
"Create Shipping Address","Teslimat Adresi Ekle"
