"-- Please Select --","-- Please Select --"
"Add New Class","ДОдати новий клас"
"Add New Tax Rate","Додати нову ставку податку"
"Add New Tax Rule","Додати нове правило податку"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Ви впевнені?"
"Back","Повернутись"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Назва класу"
"Code","Code"
"Country","Країна"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Графство"
"Custom price if available","Custom price if available"
"Customer Tax Class","Клас податку клієнта"
"Customer Tax Class Information","Інформація про клас податку клієнта "
"Customer Tax Classes","Класи податків клієнта"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Видалити клас"
"Delete Rate","Видалити правило"
"Delete Rule","Видалити правило"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Редагувати клас"
"Edit Class '%s'","Редагувати клас '%s'"
"Edit Rule","Редагувати правло"
"Edit Tax Rate","Редагувати ставку податку"
"Error while deleting this class. Please try again later.","Помилка видалення цього класу. Будь-ласка, спробуйте ще раз пізніше."
"Error while deleting this rate. Incorrect rate ID","Помилка при видалені цієї ставки. Невірний ID ставки"
"Error while deleting this rate. Please try again later.","Помилка при видалені цієї ставки. Будь-ласка, спробуйте ще раз пізніше."
"Error while deleting this tax rule. Please try again later.","Помилка при видалені цього правила податку. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this rate. Please try again later.","Помилка при збереженні цієї ставки. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this tax class. Class with the same name ","Помилка при збереженні цього класу податку. В системі вже існує клас з такою назвою"
"Error while saving this tax class. Please try again later.","Помилка при збереженні цього класу податку. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this tax rule. Please try again later.","Помилка при збереженні цього правила податку. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Не вкл. податки"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Експорт ставок податку"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Імпорт/ Експорт ставок податку"
"Import Tax Rates","Імпорт ставок податку"
"Inc. Tax","Вкл. податки"
"Incl. Tax","Вкл. податки"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Невірні дані ставки"
"Invalid data for tax rate calculation","Невірні дані для підрахунку ставки податку"
"Invalid file format upload attempt","Ви спробували завантажити файл невірного формату"
"Invalid file upload attempt","Ви спробували завантажити невірний файл"
"Manage Customer Tax Classes","Класи податку клієнта"
"Manage Product Tax Classes","Класи податку товару"
"Manage Tax Rates","Ставки податку"
"Manage Tax Rules","Правила"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Новий клас"
"New Rule","Нове правило"
"New Tax Rate","Нова ставка подаку"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Виберіть країну"
"Please select County","Виберіть графство"
"Please select State","Виберіть регіон"
"Priority","Priority"
"Product Tax Class","Клас податку товару"
"Product Tax Class Information","Інформація про клас податку товару"
"Product Tax Classes","Класи податку товару"
"Rate","Rate"
"Reset","Скинути"
"Sales","Продажі"
"Save Class","Зберегти клас"
"Save Rate","Зберегти ставку"
"Save Rule","Зберегти правило"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","Регіон"
"State/Region","Регіон/Область"
"Tax","Податки"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Ставка податку"
"Tax Rate Information","Інформація про ставку податку"
"Tax Rule Information","Інформація про правило податку"
"Tax Rules","Правиила податку"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Клас податку був успішно видалений"
"Tax class was successfully saved","Клас податку був успішно збережений"
"Tax rate was successfully deleted","Ставка податку була успішно видалена"
"Tax rate was successfully imported","Ставка податку була успішно імпортована"
"Tax rate was successfully saved","Ставка податку була успішно збережена"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Правило податку було успішно видалено"
"Tax rule was successfully saved","Правило податку було успішно збережено"
"This class no longer exists","Цього класу більше не існує"
"This rule no longer exists","Цього правила більше не існує"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Ви не можете видалити цей клас податку, оскільки він використовується в %d групах клієнтів."
"You cannot delete this tax class as it is used for %d products.","Ви не можете видалити цей клас податку, оскільки він використовується в %d товарах."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Ви не можете видалити цей клас податку, оскільки він використовується в правилах податку. Спершу видаліть ці правила."
"Zip/Post Code","Поштовий код"
