"# of Use","# використання"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Копіювати дані з: %s)"
"(Will make search for the query above return results for this search.)","(При пошуку синоніму ,спершу будуть відображені результати пошуку по синоніму, а потім добалені результати пошуку по основному слову.)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Please Select --"
"A name is required","Ім&#39;я є обов&#39;язковим полем"
"ALL GROUPS","ВСІ ГРУПИ"
"AM","AM"
"Action","Дія"
"Add Attribute","Додати атрибут"
"Add Design Change","Додати зміни в дизайні"
"Add Group","Додати групу"
"Add Items to Cart","Додати товари в кошик"
"Add New","Додати нову"
"Add New Attribute","Додати новий атрибут"
"Add New Attribute Set","Додати новий набір атрибутів"
"Add New Group","Додати нову групу"
"Add New Images","Додати нові малюнки"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Додати новий термін для пошуку"
"Add New Set","Додати новий набір"
"Add Option","Додати варіант"
"Add Product","Додати товар"
"Add Product To Websites","Add Product To Websites"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Додати рівень"
"Add to Cart","Додати в кошик"
"Add to Compare","Додати для порівняння"
"Add to My Wishlist","Додати до мого списку бажань"
"Add to Wishlist","Додати до списку бажань"
"Additional Information","Додаткова інформація"
"All","Всі"
"All Product Types","Всі типи товарів"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Застосувати для"
"Apply To Configurable/Grouped Product","Застосувати до конфігурованих/згрупованих товарів"
"Approved","Підтверджено"
"Are you sure you want to delete this category?","Ви впевнені, що бажаєе видалити цю категорію?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Ви впевнені, що бажаєте видалити цей товар зі списку порівняння?"
"Are you sure?","Ви впевнені?"
"As low as:","Всього за:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Пов'язані товари"
"Attrib. Set Name","Набір атрибутів"
"Attribute Code","Код атрибуту"
"Attribute Information","Інформація по атрибуту"
"Attribute Label","Мітка атрибуту"
"Attribute Model","Модель атрибуту"
"Attribute Name:","Ім&#39;я атрибуту:"
"Attribute Properties","Властивості атрибуту"
"Attribute Set","Набір атрибутів"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Модель атрибуту не задана"
"Attribute with the same code already exists","Атрибут з ідентичним кодом вже існує"
"Attributes","Атрибути"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Автостворення"
"Availability","Availability"
"Availability: In stock.","Наявність: На складі."
"Availability: Out of stock.","Наявність: Відсутній."
"Back","Повернутися"
"Backend Model","Модель внутрішнього інтерфейсу"
"Backend Table","Таблиця внутрішнього інтерфейсу"
"Backend Table Title","Назва таблиці внутрішнього інтерфейсу"
"Backorders","Попереднє замовлення"
"Base directory to upload image file is not specified","Основна директорія для завантажування малюнків не визначена"
"Based On","На основі"
"Best Value","Найкраща ціна"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Внизу/Зліва"
"Bottom/Right","Внизу/справа"
"Browse By","Перегляд"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Може використовуватись виключно з випадаючим меню каталогу"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може використовуватись виключно з випадаючим меню каталогу, Груповим вибором та Ціною"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Атрибут товару в кошику"
"Catalog","Каталог"
"Catalog Input Type for Store Owner","Тип вводу каталогу для валсника групи магазинів"
"Catalog Price Scope","Діапазон цін в каталозі"
