"--Please Select--","--Виберіть--"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Зробити чек оплачуваним на ім'я</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Неможливо налаштувати спосіб оплати з кодом: %s"
"Can not retrieve payment info model object.","Неможливо підключити  модель платіжної інформації."
"Can not retrieve payment method instance","Неможливо отримати екземпляр способу оплати"
"Can not retrieve payment method model object.","Неможливо підключити модель способу оплати."
"Card Verification Number","Номер перевірки картки"
"Check / Money order","Чек / Грошовий переказ"
"Credit Card Number","Номер кредитної картки"
"Credit Card Number: %s","Номер кредитної картки: %s"
"Credit Card Number: xxxx-%s","Номер кредитної картки: xxxx-%s"
"Credit Card Type","Тип кредитної картки"
"Credit Card Type: %s","Тип кредитної картки: %s"
"Credit Card Types","Типи кредитної картки"
"Credit Card Verification","Перевірка кредитної картки"
"Enabled","Увімкнено"
"Expiration Date","Дійсна до"
"Expiration Date: %s/%s","Дійсна до: %s/%s"
"Make Check payable to","Зробити чек оплачуваним на ім'я"
"Make Check payable to: %s","Зробити чек оплачуваним на ім'я: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","Місяць"
"Name on Card","Ім'я на картці"
"Name on the Card: %s","Ім'я на картці: %s"
"New order status","Статус нового замовлення"
"Payment Methods","Способи оплати"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Оплата із зазначених країн"
"Payment from applicable countries","Оплата з усіх перелічених країн"
"Purchase Order Number","Оплата замовлення №"
"Purchase Order Number: %s","Оплата замовлення №: %s"
"Purchase order","Оплата замовлення"
"Saved CC","Збережена копія"
"Send Check to","Надіслати чек"
"Send Check to:","Надіслати чек:"
"Sort order","Порядок сортування"
"Title","Заголовок"
"What is this?","Детальніше про..."
"Year","Рік"
"Zero Subtotal Checkout","Оформити замовлення з нульовою вартістю"
