"-- Please Select --","-- Выберите  --"
"Account Registration","Регистрация"
"All fields of script types have to be filled.","Все поля типов скриптов должны быть заполнены."
"Attributes","Атрибуты"
"Category View Optimization","Оптимизация просмотра категории"
"Control Script","Скрипт контроля"
"Conversion Page","Conversion Page"
"Conversion Page URL","Conversion Page URL"
"Conversion Script","Conversion Script"
"Enable","Включить"
"Google Optimizer Scripts","Google Optimizer Scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Установить скрипты"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Multi Address Checkout"
"One Page Checkout","Одностраничный заказ"
"Order Success (Multi Address Checkout)","Успешный заказ (Заказ на несколько адресов)"
"Order Success (One Page Checkout)","Успешный заказ (Одностраничный тип заказа)"
"Original Page","Оригинальная страница"
"Other","Другой"
"Page Type","Тип страницы"
"Page View Optimization","Оптимизация просмотра страницы"
"Please copy and paste this value to experiment edit form","Пожалуйста, скопируйте это значение в форму редактирования эксперимента"
"Please select store view to see the URL","Выберите представление магазина для просмотра URL"
"Product View Optimization","Оптимизация просмотра товара"
"Scripts Install URL","Адрес инсталляции скриптов"
"Shopping Cart","Корзина"
"Tracking Script","Скрипт отслеживания"
"Use Default","Использовать значение по умолчанию"
"Use Default Values","Использовать значения по умолчанию"
"Variant Page","Страница варианта"
