"%s Item(s)","%s шт."
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2009 Magento Demo Store. Все права защищены."
"(Shift-)Click or drag to change value","(Shift+)Нажмите или тяните для изменения значения"
"(ver. %s)","(вер. %s)"
"- Click on any of the time parts to increase it","- Нажмите на любую часть времени для её увеличения"
"- Hold mouse button on any of the above buttons for faster selection.","- Держите кнопку мышки нажатой на любой из этих кнопок для более быстрого выбора."
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s для выбора года"
"- or Shift-click to decrease it","- или Shift+щелчок мышки для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"About the calendar","О календаре"
"Click <a href=""%s"">here</a> if nothing has happened","Перейдите по <a href=""%s"">ссылке</a>, если ничего не произошло"
"Close","Закрыть"
"Close Window","Закрыть окно"
"DHTML Date/Time Selector","DHTML выбор даты и времени"
"Date selection:","Выбор даты:"
"Default Description","Описание по умолчанию"
"Default welcome msg!","Приветствие по умолчанию!"
"Display %s first","Выводить %s первым"
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Посетите %s для подробной информации."
"Drag to move","Тяните, чтобы переместить"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"Go Today","Сегодня"
"Help Us to Keep Magento Healthy","Помогите сделать Magento лучше"
"Interface Language","Язык интерфейса"
"Items %s to %s of %s total","Позиции с %s по %s из %s"
"Next Page","Следующая страница"
"Next month (hold for menu)","Следующий месяц (подержать для появления меню)"
"Next year (hold for menu)","Следующий год (подержать для появления меню)"
"Page:","Страница:"
"Prev. month (hold for menu)","Пред. месяц (подержать для появления меню)"
"Prev. year (hold for menu)","Пред. год (подержать для появления меню)"
"Previous Page","Предыдущая страница:"
"Redirecting...","Происходит перенаправление..."
"Report All Bugs","Сообщайте обо всех ошибках"
"Select Store","Выберите магазин"
"Select date","Выберите дату"
"Show","Показать"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Skip to Main Content"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Любые заказы, оформленные на этом сайте, не будут обработаны или выполнены."
"Time selection:","Выбор времени:"
"Time:","Время:"
"Welcome, %s!","Добро пожаловать, %s!"
"You're currently on:","Текущая страница:"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
"per page","на странице"
"Your Language:","Ваш язык:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
