"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","<strong>%1$s</strong> успешно добавлен в лист пожеланий. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров"
"%s's Wishlist","Лист пожеланий пользователя %s"
"* Required Fields","* Обязательные поля"
"Add All to Cart","Добавить все в корзину"
"Add to Cart","Добавить в корзину"
"Add to Wishlist","Добавить в лист пожеланий"
"Added On","Добавлено"
"Are You sure?","Вы уверены?"
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить этот товар из вашего листа пожеланий?"
"Are you sure you would like to remove this item from the wishlist?","Вы действительно хотите удалить этот товар из листа пожеланий?"
"Back","Вернуться"
"Can't save description %s","Невозможно сохранить описание %s"
"Cannot create wishlist","Невозможно создать лист пожеланий"
"Cannot specify product","Невозможно указать товар"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Установите этот флажок, если хотите добавить ссылку на rss канал вашего листа пожеланий."
"Comment","Комментарий"
"Email Sender","Электронная почта (email). Отправитель"
"Email Template","Электронная почта (email). Шаблон"
"Email address can't be empty.","Адрес электронной почты (email) не может быть пустым."
"Email addresses, separated by commas","Адреса электронной почты (emails), разделённые запятыми"
"Enabled","Включено"
"General Options","Общие параметры"
"Go to Wishlist","Перейти в лист пожеланий"
"Last Added Items","Последние добавленные позиции"
"Message","Сообщение"
"My Wishlist","Мой список желаний"
"My Wishlist (%d item)","Мой лист пожеланий (%d шт.)"
"My Wishlist (%d items)","Мой лист пожеланий (%d шт.)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите правильные адреса электронной почты (emails), разделённые запятыми. Например: ivanivanov@domain.com, ivanpetrov@domain.com."
"Please, enter your comments...","Пожалуйста, введите ваши комментарии..."
"Product","Товар"
"RSS Feed","RSS канал"
"RSS link to %s's wishlist","RSS ссылка на лист пожеланий (%s)"
"Remove Item","Удалить позицию"
"Share Wishlist","Опубликовать лист пожеланий"
"Share Your Wishlist","Опубликовать ваш лист пожеланий"
"Share options","Параметры публикации"
"Sharing Information","Информация для публикации"
"There was an error while adding item to wishlist.","Произошла ошибка при добавлении позиции в лист пожеланий."
"There was an error while adding item to wishlist: %s","Произошла ошибка при добавлении позиции в лист пожеланий: %s"
"There was an error while deleting item from wishlist.","Произошла ошибка при удалении позиции из листа пожеланий."
"There was an error while deleting item from wishlist: %s","Произошла ошибка при удалении позиции из листа пожеланий: %s"
"This product(s) is currently out of stock:","Данных товаров в данный момент нет в наличии:"
"Update Wishlist","Сохранить изменения в листе пожеланий"
"View Product","Просмотреть товар"
"Wishlist","Лист пожеланий"
"Wishlist Section","Раздел листа пожеланий"
"Wishlist Sharing","Публикация листа пожеланий"
"Wishlist is empty now.","Лист пожеланий очищен."
"You have no items in your wishlist.","В вашем листе пожеланий нет товаров."
"You input not valid email address.","Вы ввели неверный адрес электронной почты (email)."
"Your Wishlist was successfully shared","Ваш лист пожеланий успешно опубликован"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Мой лист пожеланий"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
