"%s is not supported currency.","Валюта %s не поддерживается."
"Accept","Accept"
"Basic","Basic"
"Cannot retreive rate from strikeirion.","Cannot retreive rate from strikeirion."
"Cannot retrieve rate from %s to %s","Cannot retrieve rate from %s to %s"
"Check all email servers","Check all email servers"
"Complete","Завершено"
"Country/Region/Postal code combination","Комбинация Страны/Региона/Почтового кода"
"Customer Tax Class","Класс налога клиента"
"Email Verification","Подтверждение адреса электронной почты"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Email address cannot be verified. Please check again and make sure your email address entered correctly."
"Enable US address verification","Enable US address verification"
"Enable email verification","Enable email verification"
"Enable foreign exchange rate","Enable foreign exchange rate"
"Enable global address verification","Enable global address verification"
"Enable sales and use tax","Enable sales and use tax"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Отправитель письма об ошибке"
"Error Email Template","Шаблон письма об ошибке"
"Error address action","Error address action"
"Foreign Exchange Rates","Foreign Exchange Rates"
"Global Address Verification","Global Address Verification"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address","Неверный адрес электронной почты (email)"
"Maximum tax rate","Максимальная ставка налога"
"Minimum tax rate","Минимальная ставка налога"
"Password","Пароль"
"Pop up warning and accept","Pop up warning and accept"
"Product Tax Class","Класс налога товара"
"Reject","Reject"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Section"
"Strikeiron foreign exchange rate is disabled","Strikeiron foreign exchange rate is disabled"
"Tax","Налог"
"There is an error in retrieving tax rate. Please contact us","There is an error in retrieving tax rate. Please contact us"
"There is an error in verifying an email. Please contact us.","There is an error in verifying an email. Please contact us."
"There is no more hits remaining for the foreign Exchange Rate Service.","There is no more hits remaining for the foreign Exchange Rate Service."
"There is no response back from Strikeiron server","There is no response back from Strikeiron server"
"US Address Verification","US Address Verification"
"Undetermined email action","Undetermined email action"
"Use","Использовать"
"User ID","ИД пользователя"
"Verify address in admin","Verify address in admin"
"Verify email in admin","Verify email in admin"
