"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звёзд"
"Add New Rating","Добавить новый параметр оценки"
"Assigned Options","Присвоенные варианты"
"Be the first to review this product","Оставьте отзыв о продукте первым"
"Default Value","Значение по умолчанию"
"Delete Rating","Удалить параметр оценки"
"Edit Rating","Редактировать параметр оценки"
"ID","ИД"
"If you do not specify a rating title for a store, the default value will be used.","Если вы не укажите название параметра оценки для магазина, то будет использовано значение по умолчанию."
"Manage Ratings","Управление параметрами оценки"
"New Rating","Новый параметр оценки"
"Option Label","Название варианта"
"Option Title","Заголовок варианта"
"Option Title:","Заголовок варианта:"
"Please select one of each ratings above","Пожалуйста, выберите значение для каждого параметра оценки"
"Rating Information","Информация о параметре оценки"
"Rating Name","Заголовок параметра оценки"
"Rating Options","Варианты рейтинга"
"Rating Title","Заголовок параметра оценки"
"Rating Visibility","Видимость параметра оценки"
"Rating isn't Available","Параметр оценки недоступен"
"Rating with the same title","Параметр оценки с тем же названием"
"Save Rating","Сохранить параметр оценки"
"Visible In","Отображается в"
