"Action","Действие"
"Add Sitemap","Добавить карту сайта"
"Always","Всегда"
"CMS Pages Options","Параметры CMS страниц"
"Categories Options","Параметры категорий"
"Daily","Ежедневно"
"Edit Sitemap","Редактировать карту сайта"
"Enabled","Включено"
"Error Email Recipient","Получатель письма об ошибке"
"Error Email Sender","Отправитель письма об ошибке"
"Error Email Template","Шаблон письма об ошибке"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Невозможно сохранить файл ""%s"". Убедитесь, что папка ""%s"" доступна для записи."
"Filename","Имя файла"
"Frequency","Частота"
"Generate","Сгенерировать"
"Generation Settings","Настройки генерации"
"Google Sitemap","Карта сайта Google"
"Google Sitemap Section","Раздел карты сайта Google"
"Hourly","Каждый час"
"ID","ИД"
"Last Time Generated","Последнее время генерации"
"Link for Google","Ссылка для Google"
"Monthly","Ежемесячно"
"Never","Никогда"
"New Sitemap","Новая карта сайта"
"Path","Путь"
"Please create the specified folder ""%s"" before saving the sitemap.","Пожалуйста, создайте указанную папку ""%s"" пред сохранением карты сайта."
"Please define correct path","Пожалуйста, укажите правильный путь"
"Please make sure that ""%s"" is writable by web-server.","Пожалуйста, убедитесь что папка ""%s"" доступна для записи."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Пожалуйста, используйте в имени файла только буквы (a-z или A-Z), цифры (0-9) или подчёркивание (_). Пробелы и другие символы запрещены."
"Priority","Приоритет"
"Priority must be between 0 and 1","Приоритет должен быть между 0 и 1"
"Products Options","Параметры товаров"
"Sitemap","Карта сайта"
"Sitemap ""%s"" has been successfully generated","Карта сайта ""%s"" успешно сгенерирована"
"Sitemap generate Warnings","Ошибки генерации карты сайта"
"Sitemap was successfully deleted","Карта сайта успешна удалена"
"Sitemap was successfully saved","Карта сайта успешно сохранена"
"Start Time","Время начала"
"Store View","Представление магазина"
"This sitemap no longer exists","Эта карта сайта больше не существует"
"Unable to find a sitemap to delete","Невозможно найти карту сайта для удаления"
"Unable to find a sitemap to generate","Невозможно найти карту сайта для генерации"
"Unable to generate a sitemap","Невозможно сгенерировать карту сайта"
"Valid values range from 0.0 to 1.0","Диапазон правильных значений от 0.0 до 1.0"
"Weekly","Еженедельно"
"Yearly","Ежегодно"
