"Actions","Действия"
"Add Answer","Добавить ответ"
"Add New Answer","Добавить новый ответ"
"Add New Poll","Добавить новый опрос"
"Answer Title","Заголовок ответа"
"Answer Title:","Заголовок ответа:"
"Answer was successfully saved","Ответ успешно сохранён"
"Answer with the same title in this poll","Ответ с таким же заголовком в этом опросе"
"Are you sure you want to delete it?","Вы точно хотите удалить это?"
"Assigned Answers","Присвоенные ответы"
"Closed","Закрыт"
"Community Poll","Опрос"
"Date Closed","Дата закрытия"
"Date Posted","Дата публикации"
"Delete","Удалить"
"Delete Answer","Удалить ответ"
"Delete Poll","Удалить опрос"
"Disallow voting in a poll multiple times from same IP-address","Запретить голосовать несколько раз с одного IP-адреса "
"Edit Answer '%s'","Редактировать ответ '%s'"
"Edit Poll '%s'","Редактировать опрос '%s'"
"Edit Poll Answer","Редактировать ответ опроса"
"ID","ИД"
"Invalid Answer","Неверный ответ"
"New Poll","Новый опрос"
"Number of Responses","Количество ответов"
"Open","Открыт"
"Poll Answers","Ответы опроса"
"Poll Information","Информация об опросе"
"Poll Manager","Управление опросами"
"Poll Question","Вопрос опроса"
"Poll information","Информация об опросе"
"Poll not exists","Опрос не существует"
"Poll with the same question","Опрос с таким же вопросом"
"Save Answer","Сохранить ответ"
"Save Poll","Сохранить опрос"
"Status","Статус"
"Unable to find answer to delete.","Невозможно найти ответ для удаления."
"Visible In","Отображается в"
"Vote","Голосовать"
"Votes Count","Количество голосов"
"Votes Count:","Количество голосов:"
