"-- Please select --","-- Выберите --"
"Allowed currencies","Разрешённые валюты"
"Base currency","Основная валюта"
"Cannot retrieve rate from %s","Не удается получить тариф от %s"
"Connection timeout in seconds","Время жизни соединения в секундах"
"Continue &raquo;","Продолжить &raquo;"
"Country","Страна"
"Country Api","API страны"
"Country and Format Type combination should be unique","Сочетание страны и типа формата должно быть уникальным"
"Currency","Валюта, отображаемая по умолчанию"
"Currency Options","Параметры валюты"
"Currency Setup","Установка валюты"
"Currency Update Warnings","Предупреждения при обновлении валюты"
"Currency will be used for all online payment transactions","Валюта будет использоваться для всех электронных платёжных операций"
"Default display currency","Валюта, отображаемая по умолчанию"
"Directory","Папка"
"Enabled","Включено"
"Error Email Recipient","Получатель письма об ошибке"
"Error Email Sender","Отправитель письма об ошибке"
"Error Email Template","Шаблон письма об ошибке"
"FATAL ERROR:","ФАТАЛЬНАЯ ОШИБКА:"
"Frequency","Частота"
"Installed Currencies","Установленные валюты"
"Invalid Import Service Specified","Указан неправильный сервис импорта"
"Invalid country code: %s","Неверный код страны: %s"
"Invalid rates received","Получены неправильные курсы"
"Invalid target currency","Неверная валюта назначения"
"List of countries","Список стран"
"List of regions in specified country","Список регионов в указанной стране"
"Region","Регион"
"Region Api","API региона"
"Remove space from currency sign","Удалить символ «Пробел» из обозначения валюты"
"Scheduled Import Settings","Настройки автоматического импорта"
"Select Your Currency","Выберите вашу валюту"
"Service","Сервис"
"Start Time","Время начала"
"State/Province","Штат/Область"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Не удается инициализировать модель импорта"
"Undefined rate from ""%s-%s""","Неопределенная ставка от""%s-%s"""
"WARNING:","ВНИМАНИЕ:"
"Webservicex","Webservicex"
"Your current currency is: %s","Текущая валюта: %s"
