"Actions","Действия"
"Active","Активно"
"Add New Rule","Добавить новое правило"
"Apply","Применить"
"Apply the rule only if the following conditions are met (leave blank for all products)","Применить правило только, если выполняются следующие условия (оставьте пустым для всех товаров)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Применить правило только для товаров в корзине, удовлетворяющим следующим условиям (оставьте пустым для всех товаров)"
"Apply the rule to cart items matching the following conditions","Применить правило к товарам в корзине, удовлетворяющим следующим условиям"
"Apply to","Применить к"
"Buy X get Y free (discount amount is Y)","Купи X получи Y бесплатно (сумма скидки Y)"
"By Fixed Amount","На фиксированную сумму"
"By Fixed value","На фиксированное значение"
"By Percentage","На процент"
"By Percentage of the original price","На процент от первоначальной цены"
"Cart Attribute","Атрибут корзины"
"Catalog","Каталог"
"Conditions","Условия"
"Conditions combination","Комбинация условий"
"Coupon Code","Код купона"
"Coupon code","Код купона"
"Customer Groups","Группы клиента"
"Customer is new buyer: %s","Клиент - новый покупатель: %s"
"Customer registered: %s","Клиент зарегистрирован: %s"
"Date Expire","Дата окончания"
"Date Start","Дата начала"
"Delete Rule","Удалить правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Discount Qty Step (Buy X)","Шаг количества для скидки (купить X)"
"Discount amount","Величина скидки"
"Edit Rule","Редактировать правило"
"Edit Rule '%s'","Редактировать правило '%s'"
"Expire at: %s","Истекает: %s"
"Fixed amount discount","Фиксированная величина скидки"
"Fixed amount discount for whole cart","Фиксированная величина скидки на всю корзину"
"For matching items only","Только для соответствующих товаров"
"For shipment with matching items","Для доставки с соответствующими товарами"
"Free shipping","Бесплатная доставка"
"From Date","С даты"
"General Information","Общая информация"
"ID","ИД"
"Inactive","Неактивно"
"Maximum Qty Discount is Applied to","Максимальное количество скидки применяется к"
"NOT LOGGED IN","НЕ В СИСТЕМЕ"
"Name: %s","Имя: %s"
"New Rule","Новое правило"
"No","Нет"
"Payment Method","Метод оплаты"
"Percent of product price discount","Скидка в процентах от цены товара"
"Price in cart","Цена в корзине"
"Priority","Приоритет"
"Product attribute combination","Комбинация атрибутов товара"
"Products subselection","Группа товаров с отдельными условиями"
"Promotions","Маркетинг"
"Public In RSS Feed","Опубликовать в RSS канале"
"Quantity in cart","Количество в корзине"
"Row total in cart","Количество позиций в корзине"
"Rule Information","Информация о правиле"
"Rule Name","Название правила"
"Rule was successfully deleted","Правило успешно удалено"
"Rule was successfully saved","Правило успешно сохранено"
"Save Rule","Сохранить правило"
"Shipping Country","Страна доставки"
"Shipping Method","Метод доставки"
"Shipping Postcode","Почтовый индекс доставки"
"Shipping Region","Регион доставки"
"Shipping State/Province","Штат/Провинция доставки"
"Shopping Cart Price Rule","Ценовое правило для корзины"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Special price","Особое предложение"
"Start at: %s","Начиная с: %s"
"Status","Статус"
"Stop further rules processing","Прекратить обработку последующих правил"
"Subtotal","Предварительный итог"
"The page you are trying to save no longer exists","Страница которую вы пытаетесь сохранить не существует"
"This rule no longer exists","Данное правило более не существует"
"To Date","По дату"
"To Fixed Amount","К фиксированной величине"
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"To Percentage of the original price","К процентному значению от первоначальной цены"
"Total Items Quantity","Общее количество товаров"
"Total Weight","Общий вес"
"Unable to find a page to delete","Невозможно найти страницу для удаления"
"Update prices using the following information","Обновить цены, используя следующую информацию"
"Update product's %s %s: %s","Обновить у товара %s %s: %s"
"Update the Product","Обновить товар"
"Uses per coupon","Использований с купоном"
"Uses per customer","Использований пользователями"
"Yes","Да"
