"%s and greater","%s и более"
"Advanced Search","Расширенный поиск"
"All","Все"
"Applies for ""Like"" Search type only","Применять только для типа поиска ""Like"""
"Apply Layered Navigation if search results are less than","Показывать многоуровневую навигацию (фильтр), если найдено результатов меньше чем"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Изменение настроек атрибута связано с Поисковым индексом. Пожалуйста запустите процесс <a href=""%s"">Перестроение Поискового индекса</a>"
"Autogenerated site map","Сгенерированная карта сайта"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"Catalog Search","Поиск по каталогу"
"Don't see what you're looking for?","Не нашли то, что искали?"
"Go","Перейти"
"Go to Home Page","Перейти на главную страницу"
"Grid","Сетка"
"Home","Главная"
"List","Список"
"Maximum Query Length","Максимальная длина запроса"
"Maximum Query Words Count","Максимальное кол-во слов в запросе"
"Maximum Search query  length is %s. Your query was cut.","Максимальная длина запроса составляет %s. Ваш запрос был сокращён."
"Minimal Query Length","Минимальная длина запроса"
"Modify your search","Измените параметры поиска"
"No","Нет"
"No items were found using the following search criteria.","К сожалению по Вашему запросу ничего не найдено."
"Please enter ""0"" to enable layered navigation for any number of results","Чтобы разрешить многоуровневую навигацию (фильтр) для любого количества результатов, введите ""0"""
"Popular Search Terms","Популярные поисковые запросы"
"Popular search terms","Популярные поисковые запросы"
"Relevance","Релевантность"
"Required Fields","Обязательные поля"
"Results","Результат"
"Search","Поиск"
"Search Settings","Настройки поиска"
"Search Site","Поиск по сайту"
"Search Terms","Поисковые запросы"
"Search Type","Тип поиска"
"Search entire store here...","Введите запрос..."
"Search results for '%s'","Результаты поиска для '%s'"
"Search results for: '%s'","Результаты поиска для: '%s'"
"Subscribe to Feed","Подписаться на рассылку"
"There are no search terms available.","Нет доступных критериев поиска."
"Yes","Да"
"You have to specify at least one search term","Вам необходимо указать хотя бы один критерий поиска."
"Your search returns no results.","Нет результатов по вашему запросу"
"up to %s","до %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
