"%s was successfully added to your shopping cart.","Товар <strong>%s</strong> успешно добавлен в корзину покупок."
"&laquo; Back to Billing Information","&laquo; Вернуться к информации о плательщике"
"&laquo; Back to Select Addresses","&laquo; Вернуться к выбору адресов"
"&laquo; Back to Shopping Cart","&laquo; Вернуться в корзину покупок"
"* Required Fields","* Обязательные поля"
"Add New Address","Добавить новый адрес"
"Add New Condition","Добавить новое условие"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить к сравнению"
"Add to Wishlist","Добавить в лист пожеланий"
"Address","Адрес"
"Address %s of %s","Адрес %s из %s"
"After adding a product redirect to shopping cart","Перейти в корзину покупок после добавления товара"
"Allow Guest Checkout","Разрешить гостям оформление заказов"
"Already registered?","Уже зарегистрированы?"
"An error occurred in the process of payment","Во время процесса оплаты произошла ошибка"
"Apply Coupon","Использовать купон"
"Are you sure you would like to remove this item from the shopping cart?","Вы действительно хотите удалить этот товар из корзины?"
"Back","Вернуться"
"Back to Shipping Information","Вернуться к информации о доставке"
"Based on your selection, you may be interested in the following items:","Вы можете быть заинтересованы в следующих товарах:"
"Billing Address","Адрес плательщика"
"Billing Information","Информация о плательщике"
"Billing Information - %s","Информация о плательщике - %s"
"Can not add item to shopping cart","Невозможно добавить товар в корзину"
"Can not apply coupon code.","Невозможно использовать код купона."
"Can't open overview page","Невозможно открыть страницу описания"
"Cancel Coupon","Отменить купон"
"Cannot remove item","Невозможно удалить позицию"
"Cannot update shopping cart","Невозможно обновить корзину"
"Card Verification Number Visual Reference","Информация о проверочном коде на карте"
"Cart Subtotal:","Итого в корзине:"
"Change","Изменить"
"Change Billing Address","Изменить адрес плательщика"
"Checkbox text","Текст для галочки"
"Checkout","Оформить заказ"
"Checkout Conditions","Условия оформления заказа"
"Checkout Options","Параметры оформления заказа"
"Checkout Section","Раздел заказа"
"Checkout Terms and Conditions","Соглашение о заказе"
"Checkout as Guest","Оформить заказ как Гость"
"Checkout as a Guest or Register","Оформить заказ как Гость или Зарегистрироваться"
"Checkout method","Метод оформления заказа"
"Checkout with Multiple Addresses","Оформить заказ используя несколько адресов"
"City","Город"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target='_blank'"">здесь</a>, чтобы распечатать информацию по Вашему заказу"
"Close","Закрыть"
"Company","Компания"
"Condition Name","Название условия"
"Condition was successfully deleted","Условие успешно удалено"
"Condition was successfully saved","Условие успешно сохранено"
"Configurable product image","Изображение настраиваемого товара"
"Confirm Password","Подтвердите пароль"
"Content","Содержимое"
