"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Скопировать данные из: %s)"
"(Will make search for the query above return results for this search.)","(Вернёт результат по запросу выше.)"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выберите --"
"A name is required","Имя обязательно"
"ALL GROUPS","ВСЕ ГРУППЫ"
"AM","AM"
"Action","Действие"
"Add Attribute","Добавить атрибут"
"Add Design Change","Добавить изменение дизайна"
"Add Group","Добавить группу"
"Add Items to Cart","Добавить товары в корзину"
"Add New","Добавить новый"
"Add New Attribute","Добавить новый атрибут"
"Add New Attribute Set","Добавьте новый набор атрибутов"
"Add New Group","Добавить новую группу"
"Add New Images","Добавить новые изображения"
"Add New Option","Добавить новый вариант"
"Add New Row","Добавить новую строку"
"Add New Search Term","Добавить новый критерий поиска"
"Add New Set","Добавить новый набор"
"Add Option","Добавить вариант"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить товар на сайты"
"Add Root Category","Добавить категорию"
"Add Subcategory","Добавить подкатегорию"
"Add Tax","Добавить налог"
"Add Tier","Добавить уровень"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить в сравнение"
"Add to My Wishlist","Добавить в мой список желаемых покупок"
"Add to Wishlist","Добавить в лист пожеланий"
"Additional Information","Дополнительная информация"
"All","Все"
"All Product Types","Все типы товаров"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Все товары этого набора будут удалены! Вы уверены, что хотите удалить этот набор атрибутов?"
"Allow HTML-tags on Front-end","Разрешить HTML в пользовательской части"
"Allowed File Extensions","Разрешённые расширения файлов"
"Allowed file extensions to upload","Разрешённые для закачивания расширения файлов"
"Amount","Количество"
"Apply To","Применить к"
"Apply To Configurable/Grouped Product","Применить к настраиваемым/сборным товарам"
"Approved","Одобрено"
"Are you sure you want to delete this category?","Вы действительно хотите удалить эту категорию?"
"Are you sure you would like to remove all products from your comparison?","Вы действительно хотите очистить список товаров для сравнения?"
"Are you sure you would like to remove this item from the compare products?","Вы действительно хотите удалить этот товар из списка для сравнения?"
"Are you sure?","Вы уверены?"
"As low as:","Начиная с:"
"Assign","Назначить"
"Assign product link","Назначить ссылку на товар"
"Assign product to category","Назначить товар в категорию"
"Assigned Products","Назначенные товары"
"Associated Products","Объединённые товары"
"Attrib. Set Name","Набор атрибутов"
"Attribute Code","Код атрибута"
"Attribute Information","Информация об атрибуте"
"Attribute Label","Заголовок атрибута"
"Attribute Model","Модель атрибута"
"Attribute Name:","Название атрибута:"
"Attribute Properties","Свойства атрибута"
"Attribute Set","Набор атрибутов"
