"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Ссылка</a>"
"Access denied to destination folder ""%s""","Запрещён доступ к запрашиваемой папке ""%s"""
"Could not load file: ""%s""","Невозможно загрузить файл: ""%s"""
"Could not save file: %s","Невозможно сохранить файл: %s"
"Declared adapter %s not found","Не найден объявленный адаптер %s"
"Destination folder ""%s"" does not exist or not access to create","Запрашиваемая папка ""%s"" не существует или нет прав для её создания"
"Destination folder ""%s"" is not a directory","Запрашиваемая папка ""%s"" не является директорией"
"Destination folder ""%s"" is not a writeable","Запрашиваемая папка ""%s"" закрыта для записи"
"Done","Обработано"
"Dry run set, stopping execution","Пробный запуск, остановка выполнения (Dry run set, stopping execution)"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Ошибка привязки полей! Не указан список полей для привязки"
"Error occured during file opening: ""%s""","Произошла ошибка при открытии файла: ""%s"""
"File ""%s"" don't exist","Файл ""%s"" не существует"
"Found %d rows","Обнаружено рядов %d"
"Less than a minute","Менее чем за минуту"
"Loaded successfully: ""%s""","Успешно загружено: ""%s"""
"Memory Used: %s","Использовано памяти: %s"
"Method ""%s"" not defined in adapter %s","Метод ""%s"" не определен в адаптере %s"
"Please declare ""adapter"" and ""method"" node first","Пожалуйста сначала укажите ""adapter"" и ""method"" "
"Processed records: %s","Обработано записей: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Успешно сохранено: ""%s"" [%d байт]"
"Sheet 1","Лист 1"
"Skip undefined row","Пропустить неопределенный ряд"
"Starting %s :: %s","Запуск %s :: %s"
"Total records: %s","Всего записей: %s"
"hour","час"
"hours","часов"
"minute","минута"
"minutes","минут"
