"All Websites","Все сайты"
"Apply Percent Discounts To FPT","Применить процентные скидки к FPT"
"Apply Tax To FPT","Применить налог к FPT"
"Display Prices In Emails","Отображать цены в письмах (emails)"
"Display Prices In Product Lists","Отображать цены в списке товаров"
"Display Prices In Sales Modules","Отображать цены в модулях оплаты"
"Display Prices On Product View Page","Отображать цены на странице просмотра товара"
"Enable FPT","Включить FPT"
"Excluding FPT","Исключая FPT"
"Excluding FPT, FPT description, final price","Исключая FPT, описание FPT, конечную цену"
"Fixed Product Tax","Фиксированный налог товара (FPT)"
"Fixed Product Taxes","Фиксированные налоги товара"
"Include FPT In Subtotal","Включить FPT в предварительный итог"
"Including FPT and FPT description [excl. FPT VAT]","Включая FPT и описание FPT [искл. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Включая FPT и описание FPT [вкл. FPT VAT]"
"Including FPT only","Включая только FPT"
"Total","Всего"
"Total incl. tax","Всего, включая налог"
