"Actions","Действия"
"Are you sure?","Вы уверены?"
"Date Added","Дата добавления"
"Error while marking as read. Please try again later.","Ошибка при попытке пометить как прочитанное. Пожалуйста, повторите попытку позже."
"Error while marking. Please try again later.","Ошибка при пометке. Пожалуйста, повторите попытку позже."
"Error while removing. Please try again later.","Ошибка при удалении. Пожалуйста, повторите попытку позже."
"Last update","Последнее обновление"
"Mark as Read","Пометить как прочитанное"
"Mark as read","Пометить как прочитанное"
"Message","Сообщение"
"Message was successfully marked as read","Сообщение успешно помечено как прочитанное"
"Message was successfully removed","Сообщение успешно удалено"
"Messages Inbox","Входящие сообщения"
"Notifications","Уведомления"
"Please select messages","Пожалуйста, выберите сообщения"
"Read Details","Подробнее"
"Remove","Удалить"
"Severity","Важность"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"Total of %d record(s) were successfully marked as read"," %d записей помечены как прочитанные"
"Total of %d record(s) were successfully removed"," %d записей удалено"
"Unable to proceed. Please, try again","Невозможно продолжить. Пожалуйста, попробуйте еще раз"
"Update frequency","Частота обновлений"
"Use HTTPS to get feed","Использовать HTTPS для получения сообщений"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","уведом."
