"* Required Fields","* Обязательные поля"
"Add","Добавить"
"Add Gift Message","Добавить поздравительное сообщение"
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"Are you sure?","Вы уверены?"
"Cancel","Отменить"
"Check this checkbox if you want to add gift messages to your items.","Отметьте этот флажок, если вы хотите добавить поздравительные сообщения для ваших товаров."
"Check this checkbox if you want to add gift messages.","Отметьте этот флажок, если вы хотите добавить поздравительные сообщения."
"Close","Закрыть"
"Do you have any gift items in your order?","У вас есть какие-либо подарки в вашем заказе?"
"Edit","Редактировать"
"Edit Gift Message","Редактировать поздравительное сообщение"
"Enter a gift message for each item in your order.","Введите поздравительное сообщение для каждого товара вашего заказа."
"Enter a gift message for entire order.","Введите поздравительное сообщение для всего заказа."
"Enter a gift message for this address.","Введите поздравительное сообщение для этого адреса."
"Error while saving gift message","Ошибка при сохранении поздравительного сообщения"
"From","От"
"Gift Message","Поздравительное сообщение"
"Gift Messages","Поздравительные сообщения"
"Gift message has been successfully saved","Поздравительное сообщение успешно сохранено"
"Item %d of %d","Товар %d из %d."
"Message","Сообщение"
"No","Нет"
"Remove","Удалить"
"Save","Сохранить"
"Save Gift Message","Сохранить поздравительное сообщение"
"To","кому"
"Unknown entity type","Неизвестный тип сущности"
"Use config","Использовать настройки конфигурации"
"Yes","Да"
"You can leave a box blank if you don't wish to add a gift message for the item.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этой вещи."
"You can leave a box blank if you don't wish to add a gift message for this address.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этого адреса."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для всего заказа."
"Your gift message has been successfully removed","Ваше поздравительное сообщение успешно удалено"
"Your gift message has been successfully saved","Ваше поздравительное сообщение успешно сохранено"
"Your gift message successfully removed","Ваше поздравительное сообщение успешно удалено"
"Your gift message successfully saved","Ваше поздравительное сообщение успешно сохранено"
