"Action","Действие"
"All types","Все типы"
"Backup file ""%s"" can't read or write","Невозможно считать или записать файл резервной копии ""%s"""
"Backup file ""%s"" doesn't exist","Файл резервной копии ""%s"" не существует"
"Backup file doesn't exist","Файл резервной копии не существует"
"Backup file handler don't specify","Не указан обработчик файла резервной копии"
"Backup file path don't specify","Не указан путь к файлу резервной копии"
"Backups","Резервные копии"
"Cannot read backup file","Невозможно считать файл резервной копии"
"Create Backup","Создать резервную копию"
"DB","БД"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана."
"Download","Скачать"
"Error write to Backup file ""%s""","Ошибка записи в файл резервной копии ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Файл сжат при помощи Zlib, но это расширение не установлено на сервере"
"Size, byte","Размер (в байтах)"
"Time","Время"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невозможно создать резервную копию. Пожалуйста, повторите попытку позже."
"Wrong order of creation for new backup","Неправильный порядок создания для новой резервной копии"
