"%s - Discounts and Coupons","%s — Скидки и купоны"
"%s - Special Discounts","%s — Скидки и особые предложения"
"%s RSS Feed","%s RSS канал"
"%s has reached a quantity of %s.","%s достиг значения %s."
"%s's Wishlist","Лист пожеланий пользователя %s"
"Cannot retrieve the wishlist","Невозможно получить лист пожеланий"
"Catalog","Каталог"
"Category Feeds","Потоки категории"
"Comment: %s<br/>","Комментарий: %s<br/>"
"Coupons/Discounts","Купоны/Скидки"
"Current Status: %s<br/>","Текущее состояние: %s<br/>"
"Customer Name: %s","Имя клиента: %s"
"Customer Order Status Notification","Уведомление о статусе заказа клиента"
"Details for %s #%s","Детали по %s #%s"
"Discount ","Скидка"
"Enable RSS","Включить RSS"
"Error in processing xml. %s","Ошибка в обрабатываемом xml. %s"
"From:","От:"
"Get Feed","Получить поток"
"Gift Message","Поздравительное сообщение"
"Grand Total","Итого"
"Low Stock Products","Заканчивающиеся товары"
"Message:","Сообщение:"
"Miscellaneous Feeds","Различные потоки"
"New Orders","Новые заказы"
"New Products","Новые товары"
"New Products from %s","%s — Новые товары "
"Notified Date: %s<br/>","Дата уведомления: %s<br/>"
"Order # %s Notification(s)","Заказ # %s. Уведомления"
"Order #%s created at %s","Заказ #%s создан %s"
"Pending product review(s)","Отзывы, ожидающие проверки"
"Product: ""%s"" review By: %s","Товар: ""%s"" отзыв от: %s"
"Product: <a href=""%s"">%s</a> <br/>","Товар: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Товары, помеченные %s"
"Purchased From: %s","Заказано с: %s"
"RSS","RSS"
"RSS Feeds","RSS потоки"
"RSS testing","Тестирование RSS"
"Review: %s <br/>","Отзыв: %s <br/>"
"Rss Config","Конфигурация RSS"
"Rss Feeds Section","Раздел RSS потоков"
"Shipping & Handling","Доставка и Обработка"
"Special Products","Товары с особым предложением"
"Special/Discount Products","Товары со скидкой/с особым предложением"
"Store: %s <br/>","Магазин: %s <br/>"
"Subtotal","Предварительный итог"
"Summary of review: %s <br/>","Название отзыва (основная мысль): %s <br/>"
"Tags Products","Метки товаров"
"Tax","Налог"
"There are no Rss Feeds","Нет доступных RSS каналов"
"There are no Rss Feeds.","Нет доступных RSS каналов."
"To:","До:"
"Top Level Category","Категория верхнего уровня"
"Total Products: %s","Итого товаров: %s"
"Total: %s<br/>","Всего: %s<br/>"
"Wishlist","Лист пожеланий"
"click <a href=""%s"">here</a> to view the review","нажмите <a href=""%s"">сюда</a> для просмотра отзыва"
