"Actions","Действия"
"Active","Активно"
"Add New Rule","Добавить новое правило"
"Apply Rules","Применить правила"
"Attribute Set","Набор атрибутов"
"Catalog","Каталог"
"Catalog Price Rule","Ценовое правило для каталога"
"Catalog Price Rules","Ценовые правила для каталога"
"Category","Категория"
"Comments History","История комментариев"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (оставьте пустым для всех товаров)"
"Conditions Combination","Набор условий"
"Credit Memos","Возвраты платежей"
"Customer Groups","Группы клиентов"
"Customer is new buyer: %s","Клиент — новый покупатель: %s"
"Customer registered: %s","Дата регистрации клиента: %s"
"Date Expire","Дата окончания"
"Date From","Дата с"
"Date Start","Дата начала"
"Date To","Дата до"
"Delete Rule","Удалить правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Edit Rule","Изменить правило"
"Edit Rule '%s'","Изменить правило ' %s '"
"Expire at: %s","Окончание: %s"
"From Date","С даты"
"General Information","Общая информация"
"Gift Messages","Поздравительные сообщения"
"ID","ИД"
"Inactive","Неактивно"
"Invoices","Счета"
"NOT LOGGED IN","НЕ В СИСТЕМЕ"
"Name: %s","Название: %s"
"New Rule","Новое правило"
"No","Нет"
"Options","Параметры"
"Order Credit Memos","Возвраты платежей заказа"
"Order Gift Messages","Поздравительные сообщения заказа"
"Order History","История заказа"
"Order Invoices","Платежи заказа"
"Order Shipments","Поставки заказа"
"Priority","Приоритет"
"Product Attribute","Атрибут товара"
"Promotions","Маркетинг"
"Rule Information","Информация о правиле"
"Rule Name","Название правила"
"Rule was successfully deleted","Правило успешно удалено"
"Rule was successfully saved","Правило успешно сохранено"
"Rules were successfully applied","Правила успешно применены"
"Save Rule","Сохранить правило"
"Save and Apply","Сохранить и применить"
"Shipments","Поставки"
"Start at: %s","Запуск в: %s"
"Status","Состояние"
"Stop further rules processing","Прекратить обработку последующих правил"
"The page you are trying to save no longer exists","Сохраняемая страница больше не существует"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Есть правила, в которые были внесены изменения. Они сохранены, но не применены. Нажмите ""Применить правила"", чтобы сразу увидеть изменения в каталоге."
"This rule no longer exists","Это правило больше не существует"
"To Date","По дату"
"Unable to apply rules","Невозможно применить правила"
"Unable to find a page to delete","Невозможно найти страницу для удаления"
"Update product's %s %s: %s","Обновить товару %s %s: %s"
"Websites","Сайты"
"Yes","Да"
