"%d Review(s)","Отзывы (%d)"
"%s Review(s)","Отзывы (%s)"
"(Posted on %s)","(Отзыв написан %s)"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звёзд"
"Add New Review","Добавить новый отзыв"
"Add Your Review","Добавьте ваш отзыв"
"Administrator","Администратор"
"All Reviews","Все отзывы"
"All reviews of customer `%s`","Все отзывы клиента `%s`"
"Allow guests to write reviews","Разрешить гостям писать отзывы"
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
"Are you sure?","Вы уверены?"
"Average Customer Rating","Средний рейтинг"
"Average Customer Rating:","Средний рейтинг"
"Back","Вернуться"
"Back to Main Product Info","Вернуться к описанию товара"
"Back to My Reviews","Вернуться к моим отзывам"
"Back to Product Reviews","Вернуться к отзывам товара"
"Be the first to review this product","Разместите первым отзыв для этого товара"
"Created On","Создано"
"Customer","Клиент"
"Customer Reviews","Отзывы пользователей"
"Delete","Удалить"
"Delete Review","Удалить отзыв"
"Detailed Rating","Подробный рейтинг"
"Edit Review '%s'","Редактировать отзыв '%s'"
"Guest","Гость"
"How do you rate this product?","Как вы оцениваете этот товар?"
"ID","ИД"
"Manage Ratings","Управление параметрами оценок"
"My Product Reviews","Мои отзывы о товарах"
"My Recent Reviews","Моя последние отзывы"
"Name","Название"
"Name In Store","Название в магазине"
"New Review","Новый отзыв"
"Nickname","Псевдоним пользователя"
"Pending Reviews","Отзывы, ожидающие проверки"
"Pending reviews","Отзывы, ожидающие проверки"
"Pending reviews of customer `%s`","Отзывы, ожидающие проверки. Клиент `%s`"
"Please select a product","Пожалуйста, выберите товар"
"Please select one of each of the ratings above","Пожалуйста, выберите значение для каждой оценки"
"Posted By","Создано"
"Price","Цена"
"Product","Товар"
"Product Name","Название товара"
"Product Rating","Рейтинг товара"
"Product Rating:","Рейтинг товара:"
"Product Review (submitted on %s):","Отзыв о товаре (написан %s):"
"Product Reviews","Отзывы о товаре"
"Product SKU","Артикул товара"
"Qty","Кол-во"
"Rating:","Рейтинг:"
"Review","Отзыв"
"Review Details","Подробности отзыва"
"Review by %s","Отзыв пользователя %s"
"Reviews and Ratings","Отзывы и параметры оценки"
"SKU","Артикул"
"Save Review","Сохранить отзыв"
"Status","Статус"
"Submit Review","Добавить отзыв"
"Summary Rating","Общий рейтинг"
"Summary of Review","Итог отзыва"
"Summary of Your Review","Название вашего отзыва (основная мысль)"
"Summary of review","Оценка в целом"
"Title","Заголовок"
"Type","Тип"
"Unable to post review. Please, try again later.","Невозможно сохранить отзыв. Пожалуйста, повторите попытку позже."
"Update status","Обновить статус"
"View All Reviews","Просмотреть все отзывы"
"View Details","Подробнее"
"Visible In","Отображается в"
"Websites","Сайты"
"Write Your Own Review","Напишите ваш собственный отзыв"
"You have submitted no reviews.","Вы не оставляли отзывы о товарах на этом сайте."
"You're reviewing: %s","Вы пишете отзыв на товар: %s"
"Your Rating:","Ваш рейтинг:"
"Your Review (submitted on %s):","Ваш отзыв (написан %s):"
"Your review has been accepted for moderation","Ваш отзыв передан модераторам"
"OR","ИЛИ"
"My Product Reviews","My Product Reviews"
