" Copy"," Копировать"
"Action","Действие"
"Add New Template","Добавить новый шаблон"
"Add to Queue","Добавить в очередь"
"Are you sure that you want to delete this template?","Вы действительно хотите удалить этот шаблон?"
"Are you sure that you want to strip all tags?","Вы действительно хотите убрать все теги?"
"Back","Вернуться"
"Cancel","Отменить"
"Cancelled","Отменено"
"Cannot delete subscriber","Невозможно удалить подписчика"
"Cannot delete template","Нет возможности удалить шаблон"
"Cannot mark as received subscriber","Невозможно отметить как подписанного пользователя"
"Cannot save your subscription: %s","Невозможно сохранить вашу подписку: %s"
"Confirmation Email Sender","Отправитель письма о подтверждении"
"Confirmation Email Template","Шаблон письма о подтверждении"
"Confirmation request has been sent","Запрос на подтверждение был отправлен"
"Convert to Plain Text","Преобразовать в обычный текст"
"Create Newsletter Template","Создать шаблон письма"
"Customer","Клиент"
"Customer Firstname","Имя клиента"
"Customer Lastname","Фамилия клиента"
"Date Added","Дата добавления"
"Date Updated","Дата обновления"
"Delete Selected Problems","Удалить выбранные проблемы"
"Delete Template","Удалить шаблон"
"Do you really want to cancel the queue?","Вы действительно хотите отменить очередь?"
"Duplicate of template code","Копия кода шаблона"
"Edit Newsletter","Изменить письмо"
"Edit Newsletter Template","Изменить шаблон письма"
"Edit Queue","Редактировать очередь писем"
"Edit Template","Редактировать шаблон"
"Email","Электронная почта (email)"
"Enter your email address","Введите адрес электронной почты (email)"
"Error Code","Код ошибки"
"Error Text","Текст ошибки"
"Form was filled incorrectly","Форма была заполнена неправильно"
"Guest","Гость"
"ID","ИД"
"Invalid queue selected","Выбрана неверная очередь"
"Invalid subscriber ID","Неправильный ИД подписчика"
"Invalid subscription ID","Неправильный ИД подписки"
"Invalid subscription confirmation code","Неправильный код подтверждения подписки"
"Message","Сообщение"
"Need to Confirm","Необходимо подтверждение"
"New Newsletter Template","Новый шаблон письма"
"New Template","Новый шаблон"
"Newsletter","Рассылка"
"Newsletter Message Preview","Предпросмотр новостного письма"
"Newsletter Problem Reports","Отчеты проблем с письмами"
"Newsletter Queue","Очередь рассылки"
"Newsletter Section","Раздел рассылки"
"Newsletter Sign-up","Подписаться на новостную рассылку"
"Newsletter Subscribers","Подписчики рассылки"
"Newsletter Subscription","Подписка рассылки"
"Newsletter Subscriptions","Подписки рассылки"
"Newsletter Templates","Шаблоны рассылок"
"Newsletter subscription confirmation","Информационный бюллетень подтверждения подписки"
"Newsletter subscription success","Информационный бюллетень подписки успеха"
"Newsletter unsubscription success","Отмена подписки на новости успеха"
"No Templates Found","Шаблон не найден"
"No problems found","Проблем не обнаружено"
"No subscribers selected","Не выбраны подписчик"
"Not Sent","Не отправлено"
"Not activated","Не активировано"
"Pause","Пауза"
"Paused","Приостановлено"
"Please enter a valid email address","Введите правильный E-mail"
"Please enter new template name","Введите имя нового шаблона"
"Please select subscriber(s)","Выберите абонента (ов)"
"Preview","Предпросмотр"
"Preview Template","Предпросмотр шаблона"
"Processed","Обработано"
"Queue Date Start","Дата запуска очереди"
"Queue Finish","Очередь готова"
"Queue Information","Информация очереди"
"Queue Newsletter","Письмо в очереди"
"Queue Start","Старт очереди"
"Queue Subject","Тема очереди"
"Recipients","Получатели"
"Reset","Сброс"
"Resume","Возобновить"
"Return Html Version","Возвратить HTML версию"
"Save And Resume","Сохранить и возобновить"
"Save As","Сохранить как"
"Save Newsletter","Сохранить письмо"
"Save Template","Сохранить шаблон"
"Selected problem subscribers successfully unsubscribed","Выбранные проблемные подписчики были успешно отписаны от рассылки"
"Selected problems successfully deleted","Выбранные проблемы успешно удалены"
"Sender","Отправитель"
"Sender Email","Отправитель письма"
"Sender Name","Имя отправителя"
"Sending","Отправка"
"Sending Options","Параметры отправки"
"Sent","Отправлено"
"Set Return-Path","Установите обратный путь"
"Sign me up","Подписаться"
"Sign up for our newsletter:","Подписаться на нашу рассылку:"
"Start","Пуск"
"Status","Статус"
"Store","Магазин"
"Store View","Вид магазина"
"Subject","Тема"
"Subscribe","Подписаться"
"Subscribed","Подписаны"
"Subscriber","Подписчик"
"Subscribers","Подписчики"
"Subscribers From","Форма подписки"
"Subscription Options","Параметры подписки"
"Success Email Sender","Отправитель успешного письма"
"Success Email Template","Шаблон успешного письма"
"Template Content","Содержимое шаблона"
"Template Information","Информация о шаблоне"
"Template Name","Имя шаблона"
"Template Subject","Тема шаблона"
"Template Type","Тип шаблона"
"Thank you for your subscription","Спасибо за то что подписались на нашу рассылку"
"The subscription was successfully saved","Подписка была успешно сохранена"
"There was a problem with the subscription","Возникла проблема с подпиской"
"There was a problem with the subscription: %s","Возникла проблема с подпиской: %s"
"There was a problem with the un-subscription.","Возникла проблема с отменой подписки."
"There was an error while saving your subscription","Возникла ошибка при сохранении вашей ошибки"
"Toggle Editor","Переключить на редактор"
"Type","Тип"
"Unsubscribe","Отказаться"
"Unsubscribe Selected","Отменить подписку для выбранных"
"Unsubscribed","Отказавшиеся от подписки"
"Unsubscription Email Sender","Отправитель письма об отмене подписки"
"Unsubscription Email Template","Шаблон письма об отмене подписки"
"View Newsletter","Просмотр письма"
"Website","Веб-сайт"
"You have been successfully unsubscribed.","Ваша подписка была успешно отменена."
"Your subscription was successfully confirmed","Ваша подписка был успешно подтверждена"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
