"Actions","Darbības"
"Active","Active"
"Add New Rule","Pievienot jaunu nosacījumu"
"Apply","Apply"
"Apply the rule only if the following conditions are met (leave blank for all products)","Piemērot nosacījumu tikai ja prece atbilst (atstājiet tukšu, ja visām precēm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Piemērot nosacījumu tikai šīm precēm grozā (atstājiet tukšu, ja visām precēm)"
"Apply the rule to cart items matching the following conditions","Piemērot nosacījumu atbilstošām precēm grozā"
"Apply to","Apply to"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"By Fixed Amount","By Fixed Amount"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"By Percentage of the original price","By Percentage of the original price"
"Cart Attribute","Cart Attribute"
"Catalog","Catalog"
"Conditions","Nosacījumi"
"Conditions combination","Conditions combination"
"Coupon Code","Coupon Code"
"Coupon code","Coupon code"
"Customer Groups","Klientu grupas"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Spēkā līdz"
"Date Start","Spēkā no"
"Delete Rule","Izdzēst nosacījumu"
"Description","Apraksts"
"Description: %s","Description: %s"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Discount amount","Atlaide"
"Edit Rule","Mainīt nosacījumu"
"Edit Rule '%s'","Mainīt nosacījumu '%s'"
"Expire at: %s","Expire at: %s"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free shipping","Bezmaksas piegāde"
"From Date","From Date"
"General Information","Vispārēja informācija"
"ID","NPK"
"Inactive","Neaktīvs"
"Maximum Qty Discount is Applied to","Lielākais daudzums kam tiek piemērota atlaide"
"NOT LOGGED IN","NAV IELOGOJIES"
"Name: %s","Vārds: %s"
"New Rule","Jauns nosacījums"
"No","Nē"
"Payment Method","Apmaksas veids"
"Percent of product price discount","Procents no produkta cenas atlaides"
"Price in cart","Cena grozā"
"Priority","Prioritāte"
"Product attribute combination","Produkta atribūtu kombinācija"
"Products subselection","Products subselection"
"Promotions","Pārdošanas veicināšana"
"Public In RSS Feed","Publisks iekš RSS barotnes"
"Quantity in cart","Daudzums grozā"
"Row total in cart","Rindas kopā iekš groza"
"Rule Information","Iestatījumi"
"Rule Name","Noteikuma nosaukums"
"Rule was successfully deleted","Noteikums ir veiksmīgi izdzēsts"
"Rule was successfully saved","Noteikums ir veiksmīgi saglabāts"
"Save Rule","Saglabāt nosacījumu"
"Shipping Country","Nosūtīšanas valsts"
"Shipping Method","Piegādes veids"
"Shipping Postcode","Nosūtīšanas pasta indekss"
"Shipping Region","Piegādes reģions"
"Shipping State/Province","Piegādes štats/apgabals"
"Shopping Cart Price Rule","Pirkumu groza kopsummas aprēķina noscījumi"
"Shopping Cart Price Rules","Pirkumu groza kopsummas aprēķina noscījumi"
"Special price","Speciāla cena"
"Start at: %s","Sākot ar: %s"
"Status","Statuss"
"Stop further rules processing","Pārtraukt tālāku nosacījumu apstrādi"
"Subtotal","Atsevišķa summa"
"The page you are trying to save no longer exists","Lapa, kuru mēģinat saglabāt, vairs neeksistē"
"This rule no longer exists","Šis nosacījums vairs neeksistē"
"To Date","Uz datumu"
"To Fixed Amount","Uz fiksētu daudzumu"
"To Fixed Value","Uz fiksētu vērtību"
"To Percentage","Uz procentu"
"To Percentage of the original price","Procentuāli no oriģinālās cenas"
"Total Items Quantity","Kopējais preču daudzums"
"Total Weight","Kopējais svars"
"Unable to find a page to delete","Neizdevās atrast izdzēšamo lapu"
"Update prices using the following information","Atjaunot cenas izmantojot sekojošo informāciju"
"Update product's %s %s: %s","Atjaunot produkta %s %s: %s"
"Update the Product","Atjaunot produktu"
"Uses per coupon","Pēc kupona piemērojams"
"Uses per customer","Klientam piemērojams"
"Yes","Jā"
