" Copy","Kopēt"
"Action","Darbība"
"Add New Template","Izveidot jaunu veidni"
"Add to Queue","Add to Queue"
"Are you sure that you want to delete this template?","Šī veidne tiks izdzēsta!"
"Are you sure that you want to strip all tags?","Visi HTML tagi tiks izvākti no satura!"
"Back","Atpakaļ"
"Cancel","Atcelt"
"Cancelled","Atcelts"
"Cannot delete subscriber","Cannot delete subscriber"
"Cannot delete template","Cannot delete template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","Cannot save your subscription: %s"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent","Confirmation request has been sent"
"Convert to Plain Text","Pārveidot par tekstu"
"Create Newsletter Template","Create Newsletter Template"
"Customer","Customer"
"Customer Firstname","Klienta vārds"
"Customer Lastname","Klienta uzvārds"
"Date Added","Pievienota laikā"
"Date Updated","Papildināta laikā"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate of template code","Duplicate of template code"
"Edit Newsletter","Mainīt biļetenu"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","E-pasts"
"Enter your email address","Enter your email address"
"Error Code","Error Code"
"Error Text","Error Text"
"Form was filled incorrectly","Form was filled incorrectly"
"Guest","Guest"
"ID","NPK"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","Invalid subscriber ID"
"Invalid subscription ID","Invalid subscription ID"
"Invalid subscription confirmation code","Invalid subscription confirmation code"
"Message","Message"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","Jauna biļetena veidne"
"New Template","New Template"
"Newsletter","Biļeteni"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Problēmas ar biļeteniem"
"Newsletter Queue","Biļetenu apstrāde"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Biļetenu abonenti"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Abonētie biļeteni"
"Newsletter Templates","Biļetenu veidnes"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Newsletter subscription success","Biļetens abonēts"
"Newsletter unsubscription success","Newsletter unsubscription success"
"No Templates Found","No Templates Found"
"No problems found","No problems found"
"No subscribers selected","No subscribers selected"
"Not Sent","Nav nosūtīts"
"Not activated","Not activated"
"Pause","Pause"
"Paused","Aizturēts"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Please enter new template name"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Aplūkot"
"Preview Template","Apskatīt veidni"
"Processed","Apstrādāts"
"Queue Date Start","Queue Date Start"
"Queue Finish","Beigts apstrādāt"
"Queue Information","Queue Information"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Sākts apstrādāt"
"Queue Subject","Queue Subject"
"Recipients","Adresāti"
"Reset","Iztīrīt"
"Resume","Resume"
"Return Html Version","Atgriezt HTML versiju"
"Save And Resume","Saglabāt un turpināt"
"Save As","Saglabāt kā"
"Save Newsletter","Saglabāt biļetenu"
"Save Template","Saglabāt veidni"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Selected problems successfully deleted","Selected problems successfully deleted"
"Sender","Nosūtītājs"
"Sender Email","Nosūtītāja e-pasts"
"Sender Name","Nosūtītāja vārds"
"Sending","Tiek sūtīts"
"Sending Options","Sending Options"
"Sent","Nosūtīts"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Vēlos saņemt jaunumus uz šo e-pastu:"
"Start","Start"
"Status","Statuss"
"Store","Store"
"Store View","Store View"
"Subject","Tēma"
"Subscribe","Pierakstīties"
"Subscribed","Subscribed"
"Subscriber","Subscriber"
"Subscribers","Subscribers"
"Subscribers From","Subscribers From"
"Subscription Options","Subscription Options"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","Veidnes saturs"
"Template Information","Veidne"
"Template Name","Veidnes nosaukums"
"Template Subject","Veidnes tēma"
"Template Type","Formāts"
"Thank you for your subscription","Paldies par jūsu izrādīto interesi"
"The subscription was successfully saved","The subscription was successfully saved"
"There was a problem with the subscription","There was a problem with the subscription"
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"There was an error while saving your subscription","There was an error while saving your subscription"
"Toggle Editor","Toggle Editor"
"Type","Type"
"Unsubscribe","Unsubscribe"
"Unsubscribe Selected","Unsubscribe Selected"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"View Newsletter","Aplūkot biļetenu"
"Website","Vietne"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
"Your subscription was successfully confirmed","Your subscription was successfully confirmed"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
