"Add Recipient","Pievienot saņēmēju"
"Allow for Guests","Atļaut viesiem"
"Email Address","E-pasta adrese"
"Email Address:","E-pasts:"
"Email templates","E-pasta šabloni"
"Email to a Friend","Nosūtīt draugam"
"Email:","E-pasts:"
"Enabled","Atļauts"
"Limit Sending By","Ierobežot sūtīšanu"
"Link to a friend was sent.","Saite draugam ir nosūtīta."
"Max Products Sent in 1 Hour","Maks. 1 stundā nosūtīto produktu skaits"
"Max Recipients","Maks. saņēmēju skaits"
"Maximum %d email addresses allowed.","Maksimums %d e-pasta adreses ir atļautas."
"Message:","Ziņa:"
"Name","Vārds"
"Name:","Vārds:"
"Recipient:","Saņēmējs:"
"Remove Email","Izdzēst e-pastu"
"Select email template","Izvēlieties e-pasta veidni"
"Send email","Sūtīt e-pastu"
"Send product to a friend","Nosūtīt produktu draugam"
"Sender:","Nosūtītājs:"
"Some emails was not sent","Daži e-pasti netika nosūtīti"
"Some problems with data.","Dažas problēmas ar datiem."
"You cannot email this product to a friend","Jūs nevarat nosūtīt šo produktu draugam uz e-pastu"
"You cannot send more than %d times in an hour","Saņēmēju skaits stundas laikā ir ierobežots līdz %d"
