"%d Review(s)","%d Atsauksme(s)"
"%s Review(s)","%s Atsauksme(s)"
"(Posted on %s)","(Publicēta %s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Review","Pievienot jaunu atsauksmi"
"Add Your Review","Rakstīt atsauksmi"
"Administrator","Administrator"
"All Reviews","Visas atsauksmes"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Atpakaļ"
"Back to Main Product Info","Atpakaļ uz preces aprakstu"
"Back to My Reviews","Atpakaļ pie atsauksmēm"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Uzrakstīt pirmo atsauksmi par šo preci"
"Created On","Uzrakstīta"
"Customer","Customer"
"Customer Reviews","Pircēju atsauksmes"
"Delete","Izdzēst"
"Delete Review","Dzēst atsauksmi"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","Sniedziet savu vērtējumu šai precei."
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Rakstītās atsauksmes"
"My Recent Reviews","Pēdējās uzrakstītās atsauksmes"
"Name","Name"
"Name In Store","Name In Store"
"New Review","Rakstīt atsauksmi"
"Nickname","Vārds"
"Pending Reviews","Pending Reviews"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Lūdzu izvēlieties preci"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Uzrakstīja"
"Price","Cena"
"Product","Prece"
"Product Name","Preces nosaukums"
"Product Rating","Preces novērtējums"
"Product Rating:","Vērtējums:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Atsauksmes par precēm"
"Product SKU","Preces artikuls"
"Qty","Skaits"
"Rating:","Vērtējums:"
"Review","Atsauksme"
"Review Details","Atsauksme"
"Review by %s","Atsauksmi uzrakstīja %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","Artikuls"
"Save Review","Saglabāt atsauksmi"
"Status","Statuss"
"Submit Review","Pievienot atsauksmi"
"Summary Rating","Summary Rating"
"Summary of Review","Atsauksmes kopsavilkums"
"Summary of Your Review","Astauksme īsumā"
"Summary of review","Atsauksmes kopsavilkums"
"Title","Title"
"Type","Type"
"Unable to post review. Please, try again later.","Neizdevās pievienot atsauksmi. Lūdzu vēlāk mēģiniet vēlreiz."
"Update status","Update status"
"View All Reviews","Visas uzrakstītās atsauksmes"
"View Details","Apskatīt"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","Rakstīt atsauksmi"
"You have submitted no reviews.","Nav nevienas rakstītas atsauksmes."
"You're reviewing: %s","Šī būs atsauksme par: %s"
"Your Rating:","Jūsu vērtējums:"
"Your Review (submitted on %s):","Atsauksme (uzrakstīšanas datums %s):"
"Your review has been accepted for moderation","Atsauksme pieņemta tālākai apstrādei."
"OR","OR"
"My Product Reviews","My Product Reviews"
