"%s was successfully added to your shopping cart.","%s pievienota(s) jūsu pirkumu grozam."
"&laquo; Back to Billing Information","&laquo; Atpakaļ uz rēķina informāciju"
"&laquo; Back to Select Addresses","&laquo; Atpakaļ pie adrešu izvēles"
"&laquo; Back to Shopping Cart","&laquo; Atpakaļ uz pirkumu grozu"
"* Required Fields","* Obilgāti aizpildāmie lauki"
"Add New Address","Pievienot jaunu adresi"
"Add New Condition","Add New Condition"
"Add to Cart","Ielikt grozā"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"Address","Adrese"
"Address %s of %s","Adrese %s no %s"
"After adding a product redirect to shopping cart","Pēc preces pievienošanas doties uz pirkumu grozu"
"Allow Guest Checkout","Atļaut norēķināties nereģistrējoties"
"Already registered?","Reģistrētiem lietotājiem"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Rēķināt atlaidi"
"Are you sure you would like to remove this item from the shopping cart?","Izvākt preci no pirkumu groza?"
"Back","Atpakaļ"
"Back to Shipping Information","Atpakaļ pie piegādes informācijas"
"Based on your selection, you may be interested in the following items:","Ņemot vērā Jūsu izvēli, iespējams, Jūs intresēs arī šādas preces:"
"Billing Address","Rēķina adrese"
"Billing Information","Rēķina sagatavošana"
"Billing Information - %s","Rēķina informācija - %s"
"Can not add item to shopping cart","Nevaru ielikt preci pirkumu grozā"
"Can not apply coupon code.","Nevar pielietot kupona kodu."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Atcelt kuponu"
"Cannot remove item","Nav iespējams izņemt preci"
"Cannot update shopping cart","Nevaru atjaunināt pirkumu grozu"
"Card Verification Number Visual Reference","Maksājuma kartes pārbaudes nummura vizuālais paraugs"
"Cart Subtotal:","Kopsumma:"
"Change","Change"
"Change Billing Address","Mainīt rēķina adresi"
"Checkbox text","Checkbox text"
"Checkout","Noformēt pasūtījumu"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Apmaksas opcijas"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Norēķināties nereģistrējoties"
"Checkout as a Guest or Register","Reģistrēties pirms norēķināšanās?"
"Checkout method","Norēķināšanās veids"
"Checkout with Multiple Addresses","Norēķins ar vairākām adresēm"
"City","Pilsēta/pagasts"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Aizvērt"
"Company","Uzņēmums"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Konfigurējama preces bilde"
"Confirm Password","Atkārtot paroli"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Turpināt"
"Continue Shopping","Turpināt iepirkšanos"
"Continue to Billing Information","Turpināt uz rēķina informāciju"
"Continue to Review Your Order","Turpināt uz pasūtījuma pārskatīšanu"
"Continue to Shipping Information","Turpināt uz piegādes informāciju"
"Country","Valsts"
"Coupon code ""%s"" is not valid.","Kupona kods ""%s"" nav derīgs."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Kupona kods ir veiksmīgi atcelts."
"Create Billing Address","Izveidot adresi rēķinam"
"Create Shipping Address","Izveidot adresi piegādei"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Datu saglabāšanas veids"
"Default Billing","Noklusētais rēķins"
"Default Shipping","Noklusētais piegādes veids"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Atlaides"
"Display Cart Summary","Parādīt groza kopsavilkumu"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Attēlot preču daudzumus"
