"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Backorders","Backorders"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"In Stock","In Stock"
"Inventory","Inventory"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Lieākais vienību skaits kuru var iegādāties"
"Minimum Qty Allowed in Shopping Cart","Mazākais vienību skaits kuru var iegādāties"
"No Backorders","Bez pasūtīšanas"
"Notify for Quantity Below","Ziņot par daudzumu zem"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Noteikuma cena"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Noliktavas opcijas"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Dotā prece ""%s"" šādā daudzumā nav pieejama."
"The requested quantity is not available.","Prece šādā daudzumā nav pieejama"
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","Uz fiksētu cenu"
"To Percentage","Uz procentiem"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Atjaunot preci"
