"# of Use","Lietošanas skaits"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Prece(s)"
"(Copy data from: %s)","(Kopēt datus no: %s)"
"(Will make search for the query above return results for this search.)","( Veiktā meklēšana atgrieza šādus rezultātus)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Lūdzu izvēlieties --"
"A name is required","Nepieciešams vārds"
"ALL GROUPS","Visas grupas"
"AM","AM"
"Action","Darbība"
"Add Attribute","Pievienot atribūtu"
"Add Design Change","Pievienot dizaina izmaiņas"
"Add Group","Pievienot grupu"
"Add Items to Cart","Pievienot preces grozam"
"Add New","Pievienot jaunu"
"Add New Attribute","Pievienot jaunu atribūtu"
"Add New Attribute Set","Pievienot jaunu atribūtu komplektu"
"Add New Group","Pievienot jaunu grupu"
"Add New Images","Pievienot jaunus attēlus"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Pievienot jaunu meklēšanas terminu"
"Add New Set","Pieviet jaunu komplektu"
"Add Option","Pievienot opciju"
"Add Product","Pievienot preci"
"Add Product To Websites","Pievienot preces tīmekļa vietnēm"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Pievienot rindu"
"Add to Cart","Ielikt grozā"
"Add to Compare","Salīdzināt"
"Add to My Wishlist","Pievienot manam vēlmju sarakstam"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"Additional Information","Papildus informācija"
"All","Visas"
"All Product Types","Visi preču tipi"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Iespējot uz"
"Apply To Configurable/Grouped Product","Iespējot konfigurējamai/grupētai precei"
"Approved","Apstiprināts"
"Are you sure you want to delete this category?","Vai Jūs tiešām vēlaties dzēst šo kategoriju?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Vai tiešām vēlaties dzēst šo preci no preču salīdzināšanas?"
"Are you sure?","Vai esiet pārliecināts?"
"As low as:","Tikai:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Saistītās preces"
"Attrib. Set Name","Atrib. komplekta nosaukums"
"Attribute Code","Atribūta kods"
"Attribute Information","Atribūta informācija"
"Attribute Label","Atribūta virsraksts"
"Attribute Model","Atribūta modelis"
"Attribute Name:","Atribūta nosaukums:"
"Attribute Properties","Atribūta rekvizīti"
"Attribute Set","Atribūta iestatījums"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Atribūtu modelis nav definēts"
"Attribute with the same code already exists","Atribūti ar tādu kodu jau eksistē"
"Attributes","Atribūti"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Automātiski ģenerēts"
"Availability","Availability"
"Availability: In stock.","Pieejamība: ir noliktavā."
"Availability: Out of stock.","Pieejamība: nav noliktavā"
"Back","Atpakaļ"
"Backend Model","Aizmugures modelis"
"Backend Table","Aizmugures tabula"
"Backend Table Title","Aizmugures tabulas nosaukums"
"Backorders","Pasūtījumi"
"Base directory to upload image file is not specified","Bāzes direktorija priekš bilžu augšuplādes nav norādīta"
"Based On","Bāzēts uz"
"Best Value","Vērtības"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Apakšējais/kreisais"
"Bottom/Right","Apakšējais/labais"
"Browse By","Pārlūkot ar"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Var tik lietots tikai ar kataloga ievades tipu - atklājamie"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Var tikt lietots tikai ar kataloga ievades tipu atklājamie, vairākiestatījums un cena"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Groza satura atribūts"
"Catalog","Katalogs"
"Catalog Input Type for Store Owner","Kataloga ievades tips priekš veikala īpašnieka"
"Catalog Price Scope","Kataloga cenas sfēra"
"Catalog Section","Catalog Section"
"Catalog, Search","Katalogs, meklēšana"
"Categories","Kategorijas"
"Categories Sitemap","Kategoriju vietnes karte"
"Category","Kategorija"
"Category API","Category API"
"Category Data","Kategorijas dati"
"Category Navigation:","Kategorijas navigācija:"
"Category Products","Kategorijas Preces"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Kategorijas dzēšanas kļūda"
"Category deleted","Kategorija dzēsta"
"Category move error","Kategorijas pārvietošanas kļūda"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Saglabāta kategorija"
"Change","Mainīt"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Mainīt statusu"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Izvēlieties opciju..."
"Choose option...","Izvēlieties opciju..."
"Clear All","Clear All"
"Clear All Items","Dzēst visas preces"
"Close Window","Aizvērt logu"
"Collapse All","Collapse All"
"Comparable","Salīdzināms"
"Comparable on Front-end","Salīdzināms priekšlapā"
"Compare Items","Salīdzināt preces"
"Compare Products","Preču salīdzinājums"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Salīdzināt preces - %d gabalus"
"Compare Products List","Salīdzināt preču sarakstu"
"Compare list successfully cleared","Salīdzināšanas saraksts veiksmīgi dzēsts"
"Conditions Combination","Nosacījumu kombinācija"
"Configurable Product","Konfigurējama prece"
"Configurable Product Settings","Konfigurējami preces rekvizīti"
"Continue","Turpināt"
"Copy From Configurable","Kopēt no konfigurējamā"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Izveidot tukšu"
"Create Product Settings","Izveidot preces rekvizītus"
"Create Simple Associated Product","Izveidot vienkārši saistītu preci"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","krustpārdošana"
"Currently Shopping by","Šobrīd pārdošanā ar"
"Custom Design","Pielāgots dizains"
"Custom Options","Custom Options"
"Customer Group","Klientu grupa"
"Customers Reviews","Klientu apskati"
"Customers Tagged Product","Preces ar klientu piešķirtām birkām"
"Customers for alert %s was successfuly added to queue","Klienti priekš brīdinājuma %s sekmīgi pielikti rindai"
"Data Type for Saving in Database","Datu tips saglabāšanai datubāzē"
"Date","Datums"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Parakstīšanās datums"
"Date fields order","Date fields order"
"Datetime","Datums/laiks"
"Decimal","Decimāls"
"Decimal Number","Decimāls nummurs"
"Declare attribute value saving scope","Deklarēt atribūta vērtību saglabāšanas sfēru"
"Default Qty","Noklusētais daudzums"
"Default Values","Noklusētās vērtības"
"Default price","Noklusētā cena"
"Default value","Noklusētā vērtība"
"Delete","Izdzēst"
"Delete Attribute","Dzēst atribūtu"
"Delete Attribute Set","Dzēst atribūtu komplektu"
"Delete Category","Dzēst kategoriju"
"Delete Option","Dzēst opciju"
"Delete Row","Delete Row"
"Delete Search","Dzēst meklējumu"
"Delete Selected Group","Dzēst izvēlēto grupu"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Dizains"
"Disabled","Aizliegts"
"Display in Suggested Terms","Parādīt ierosinātajos noteikumos"
"Double click on a group to rename it","Dubultklikšķis uz grupas lai pārsauktu to"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Krītoša izvēlne"
"Duplicate","Duplicēt"
"Duplicate website tier price customer group and quantity.","Duplicēt tīmekļa vietnes rindu, cenu, klientu grupu un daudzumu"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Mainīt"
"Edit Attribute Set '%s'","Rediģēt atribūtu iestatījumu '%s'"
"Edit Product Attribute","Rediģēt preces atribūtu"
"Edit Product Attribute ""%s""","Rediģēt preces atribūtu ""%s"""
"Edit Search","Rediģēt meklēšanu"
"Edit Search '%s'","Rediģēt meklēšanas nosacījumus '%s'"
"Email","E-pasts"
"Email to a Friend","Nosūtīt draugam"
"Empty","Tukšs"
"Enabled","Atļauts"
"Error during retrieval of option value: %s","Kļūda saņemot opcijas vērtību: %s"
"Error while adding customers for %s alert. Message: %s","Kļūda pievienojot klientus %s brīdinājumam. Ziņojums: %s"
"Error while saving this group. Group with the same name already exists.","Kļūda saglabājot šo grupu. Grupa ar tādu nosaukumu jau eksistē."
