"-- Please Select --","-- กรุณาเลือก --"
"Add New Class","เพิ่มคลาสใหม่"
"Add New Tax Rate","เพิ่มอัตราภาษีใหม่"
"Add New Tax Rule","เพิ่มข้อกำหนดภาษีใหม่"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้?"
"Back","กลับ"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","ชื่อคลาส"
"Code","Code"
"Country","ประเทศ"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","ประเทศ"
"Custom price if available","Custom price if available"
"Customer Tax Class","คลาสภาษีลูกค้า"
"Customer Tax Class Information","ข้อมูลคลาสภาษีลูกค้า"
"Customer Tax Classes","คลาสภาษีลูกค้า"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","ลบคลาส"
"Delete Rate","ลบอัตรา"
"Delete Rule","ลบข้อกำหนด"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","แก้ไขคลาส"
"Edit Class '%s'","แก้ไขคลาส '%s'"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Tax Rate","แก้ไขอัตราภาษี"
"Error while deleting this class. Please try again later.","ความผิดพลาดขณะลบคลาสนี้ กรุณาลองใหม่อีกครั้ง"
"Error while deleting this rate. Incorrect rate ID","ความผิดพลาดขณะลบอัตรานี้ รหัส อัตราไม่ถูกต้อง"
"Error while deleting this rate. Please try again later.","ความผิดพลาดขณะลบอัตรานี้ กรุณาลองใหม่อีกครั้ง"
"Error while deleting this tax rule. Please try again later.","ความผิดพลาดขณะลบข้อกำหนดภาษีนี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this rate. Please try again later.","ความผิดพลาดขณะบันทึกอัตรานี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this tax class. Class with the same name ","ความผิดพลาดขณะบันทึกคลาสภาษีนี้ มีคลาสที่มีชื่อเดียวกัน "
"Error while saving this tax class. Please try again later.","ความผิดพลาดขณะบันทึกคลาสภาษีนี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this tax rule. Please try again later.","ความผิดพลาดขณะบันทึกข้อกำหนดภาษีนี้ กรุณาลองใหม่อีกครั้ง."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","ยกเว้น. ภาษี"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","ส่งออกอัตราภาษี"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","นำเข้า/ส่งออก อัตราภาษี"
"Import Tax Rates","นำเข้าอัตราภาษี"
"Inc. Tax","รวม. ภาษี"
"Incl. Tax","รวม. ภาษี"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","ข้อมูลอัตราไม่ถูกต้อง"
"Invalid data for tax rate calculation","ข้อมูลสำหรับคำนวณอัตราภาษีไม่ถูกต้อง"
"Invalid file format upload attempt","ความพยายามอัพโหลดไฟล์ที่ รูปแบบ ไม่ถูกต้อง"
"Invalid file upload attempt","ความพยายามอัพโหลดไฟล์ไม่ถูกต้อง"
"Manage Customer Tax Classes","จัดการคลาสภาษีลูกค้า"
"Manage Product Tax Classes","จัดการคลาสภาษีสินค้า"
"Manage Tax Rates","จัดการอัตราภาษี"
"Manage Tax Rules","จัดการข้อกำหนดภาษี"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","คลาสใหม่"
"New Rule","ข้อกำหนดใหม่"
"New Tax Rate","อัตราภาษีใหม่"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","กรุณาเลือกประเทศ"
"Please select County","กรุณาเลือกประเทศ"
"Please select State","กรุณาเลือกรัฐ"
"Priority","Priority"
"Product Tax Class","คลาสภาษีสินค้า"
"Product Tax Class Information","ข้อมูลคลาสภาษีสินค้า"
"Product Tax Classes","คลาสภาษีสินค้า"
"Rate","Rate"
"Reset","ตั้งค่าใหม่"
"Sales","ยอดขาย"
"Save Class","บันทึกคลาส"
"Save Rate","บันทึกอัตรา"
"Save Rule","บันทึกข้อกำหนด"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","รัฐ"
"State/Region","รัฐ/ภูมิภาค"
"Tax","ภาษี"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","อัตราภาษี"
"Tax Rate Information","ข้อมูลอัตราภาษี"
"Tax Rule Information","ข้อมูลข้อกำหนดภาษี"
"Tax Rules","ข้อกำหนดภาษี"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","ลบคลาสภาษีแล้ว"
"Tax class was successfully saved","บันทึกคลาสภาษีแล้ว"
"Tax rate was successfully deleted","ลบอัตราภาษีแล้ว"
"Tax rate was successfully imported","นำเข้าอัตราภาษีแล้ว"
"Tax rate was successfully saved","บันทึกอัตราภาษีแล้ว"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","ลบข้อกำหนดภาษีแล้ว"
"Tax rule was successfully saved","บันทึกอัตราภาษีแล้ว"
"This class no longer exists","ไม่มีคลาสนี้"
"This rule no longer exists","ไม่มีข้อกำหนดนี้"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d กลุ่มลูกค้า"
"You cannot delete this tax class as it is used for %d products.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d สินค้า"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้ในข้อกำหนดภาษี คุณต้องลบข้อกำหนดที่คลาสถูกใช้ก่อน"
"Zip/Post Code","รหัสไปรษณีย์"
