"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","ยอมให้จำนวนต่ำกว่า 0"
"Allow Qty Below 0 and Notify Customer","ยอมให้จำนวนต่ำกว่า 0 และแจ้งไปยังลูกค้า"
"Backorders","รายการสั่งซื้อล่วงหน้า"
"By Fixed value","ตามค่าคงที่"
"By Percentage","ตามเปอร์เซ็นต์"
"Can not specify product identifier for order item","ไม่สามารถระบุตัวบ่งชี้สินค้าสำหรับรายการออเดอร์"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","ลดจำนวนสินค้าในสต๊อกเมื่อมีการสั่งออเดอร์"
"In Stock","สินค้ามีในสต็อค"
"Inventory","สินค้าในคลังสินค้า"
"Inventory API","Inventory API"
"Inventory Section","ส่วนจัดการสินค้าคงคลัง"
"Manage Stock","บริหารจัดการสต๊อคสินค้า"
"Maximum Qty Allowed in Shopping Cart","จำนวนสูงสุดที่อนุญาตให้มีในรถเข็น"
"Minimum Qty Allowed in Shopping Cart","จำนวนน้อยสุดที่อนุญาตให้มีในรถเข็น"
"No Backorders","ไม่มี รายการสั่งซื้อล่วงหน้า"
"Notify for Quantity Below","แจ้งเตือนเมื่อจำนวนต่ำกว่า"
"Out of Stock","สินค้าหมดสต๊อค"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","ดึงข้อมูลจำนวนสินค้าในคลัง"
"Retrieve stock data by product ids","ดึงข้อมูลจำนวนสินค้าในคลังโดยใช้รหัสสินค้า"
"Rule price","ข้อกำหนดราคา"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","สินค้าบางรายการหมดสต๊อคอยู่ในขณะนี้"
"Some of the products can not be ordered in requested quantity","สินค้าบางรายการไม่สามารถสั่งซื้อตามจำนวนที่ร้องขอได้"
"Some of the products cannot be ordered in the requested quantity","สินค้าบางรายการไม่สมารถสั่งซื้อตามจำนวนที่ร้องขอได้"
"Stock Options","ตัวเลือกคลังสินค้า"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","รายการสินค้าในสต๊อคไม่ถูกต้อง"
"The maximum quantity allowed for purchase is %s.","จำนวนสินค้าสูงสุดที่อนุญาติให้สั่งซื้อได้คือ %s"
"The minimum quantity allowed for purchase is %s.","จำนวนสินค้าขั้นต่ำที่อนุญาติให้สั่งซื้อได้คือ %s"
"The requested quantity for ""%s"" is not available.","ปริมาณที่ต้องการสำหรับ ""%s"" มีไม่พอ"
"The requested quantity is not available.","ไม่มีสินค้าเพียงพอกับจำนวนที่ระบุ"
"This product is currently out of stock.","ขณะนี้สินค้ารายการนี้หมดสต๊อค"
"To Fixed Value","เป็นค่าคงที่"
"To Percentage","เป็นเปอร์เซ็นต์"
"Update","ปรับปรุง"
"Update product stock data","อัพเดทข้อมูลสินค้าในสต๊อค"
"Update the Product","ปรับปรุงสินค้า"
