" Copy","คัดลอก"
"Action","การกระทำ"
"Add New Template","เพิ่มเทมเพลตใหม่"
"Add to Queue","เพิ่มลงในคิว"
"Are you sure that you want to delete this template?","คุณแน่ใจว่าต้องการลบเทมเพลตนี้?"
"Are you sure that you want to strip all tags?","คุณแน่ใจว่าต้องการปลด tags ออกทั้งหมด?"
"Back","กลับ"
"Cancel","ยกเลิก"
"Cancelled","ยกเลิกแล้ว"
"Cannot delete subscriber","ไม่สามารถลบผู้สมัครสมาชิกได้"
"Cannot delete template","ไม่สามารถลบเทมเพลต"
"Cannot mark as received subscriber","ไม่สามารถบันทึกเป็นผู้สมัครสมาชิกที่ได้รับแล้ว"
"Cannot save your subscription: %s","ไม่สามารถบันทึกการสมัครสมาชิกของคุณได้: %s"
"Confirmation Email Sender","ผู้ส่งอีเมลล์ยืนยัน"
"Confirmation Email Template","เทมเพลตอีเมลล์ยืนยัน"
"Confirmation request has been sent","การขอคำยืนยันถูกส่งไปแล้ว"
"Convert to Plain Text","แปลงเป็นข้อความธรรมดา"
"Create Newsletter Template","สร้างเทมเพลตจดหมายข่าว"
"Customer","ลูกค้า"
"Customer Firstname","ชื่อลูกค้า"
"Customer Lastname","นามสกุลลูกค้า"
"Date Added","วันที่เพิ่ม"
"Date Updated","วันที่ปรับปรุง"
"Delete Selected Problems","ลบปัญหาที่เลือก"
"Delete Template","ลบเทมเพลต"
"Do you really want to cancel the queue?","คุณแน่ใจว่าต้องการยกเลิกคิว?"
"Duplicate of template code","โค้ดเทมเพลตซ้ำกัน"
"Edit Newsletter","แก้ไขจดหมายข่าว"
"Edit Newsletter Template","แก้ไขเทมเพลตจดหมายข่าว"
"Edit Queue","แก้ไขคิว"
"Edit Template","แก้ไขเทมเพลต"
"Email","อีเมลล์"
"Enter your email address","Enter your email address"
"Error Code","โค้ดความผิดพลาด"
"Error Text","ข้อความการผิดพลาด"
"Form was filled incorrectly","กรอกแบบฟอร์มไม่ถูกต้อง"
"Guest","ผู้เยี่ยมชม"
"ID","รหัส"
"Invalid queue selected","คิวที่เลือกไม่ถูกต้อง"
"Invalid subscriber ID","รหัสผู้สมัครสมาชิกไม่ถูกต้อง"
"Invalid subscription ID","รหัสการสมัครสมาชิกไม่ถูกต้อง"
"Invalid subscription confirmation code","โค้ดยืนยันการสมัครสมาชิกไม่ถูกต้อง"
"Message","ข้อความ"
"Need to Confirm","ต้องทำการยืนยัน"
"New Newsletter Template","เทมเพลตจดหมายข่าวใหม่"
"New Template","เทมเพลตใหม่"
"Newsletter","จดหมายข่าว"
"Newsletter Message Preview","ดูตัวอย่างข้อความจดหมายข่าว"
"Newsletter Problem Reports","รายงานปัญหาจดหมายข่าว"
"Newsletter Queue","คิวจดหมายข่าว"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","ผู้สมัครสมาชิกจดหมายข่าว"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","ผู้สมัครสมาชิกจดหมายข่าว"
"Newsletter Templates","เทมเพลตจดหมายข่าว"
"Newsletter subscription confirmation","การยืนยันการสมัครจดหมายข่าว"
"Newsletter subscription success","การสมัครสมาชิกจดหมายข่าวสำเร็จแล้ว"
"Newsletter unsubscription success","ยกเลิกการเป็นสมาชิกจดหมายข่าวสำเร็จแล้ว"
"No Templates Found","ไม่พบเทมเพลต"
"No problems found","ไม่พบปัญหา"
"No subscribers selected","ไม่มีผู้สมัครสมาชิกที่ถูกเลือก"
"Not Sent","ยังไม่ถูกส่ง"
"Not activated","ไม่ได้ถูกใช้งาน"
"Pause","หยุดชั่วคราว"
"Paused","หยุดชั่วความแล้ว"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","กรุณาใส่ชื่อเทมเพลตใหม่"
"Please select subscriber(s)","กรุณาเลือกผู้สมัครสมาชิก"
"Preview","แสดงตัวอย่าง"
"Preview Template","แสดงตัวอยางเทมเพลต"
"Processed","ดำเนินการแล้ว"
"Queue Date Start","วันที่เริ่มคิว"
"Queue Finish","คิวสิ้นสุด"
"Queue Information","ข้อมูลการคิว"
"Queue Newsletter","คิวจดหมายข่าว"
"Queue Start","เริ่มคิว"
"Queue Subject","หัวข้อที่คิว"
"Recipients","ผู้รับ"
"Reset","ตั้งค่าใหม่"
"Resume","เริ่่มต้นใหม่"
"Return Html Version","กลับไปเป็นเวอร์ชั่น Html"
"Save And Resume","บันทึกและทำต่อ"
"Save As","บันทึกเป็น"
"Save Newsletter","บันทึกจดหมายข่าว"
"Save Template","บันทึกเทมเพลต"
"Selected problem subscribers successfully unsubscribed","ผู้สมัครสมาชิกที่มีปัญหาถูกเลือกและยกเลิกสมาชิกแล้ว"
"Selected problems successfully deleted","ลบปัญหาที่เลือกแล้ว"
"Sender","ผู้ส่ง"
"Sender Email","อีเมลล์ผู้ส่ง"
"Sender Name","ชื่อผู้ส่ง"
"Sending","กำลังส่ง"
"Sending Options","Sending Options"
"Sent","ส่งแล้ว"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","ลงชื่อเข้ารวมสำหรับจดหมายข่าวของเรา:"
"Start","เริ่มต้น"
"Status","สถานะ"
"Store","ร้านค้า"
"Store View","มุมมองร้าน"
"Subject","เรื่อง"
"Subscribe","สมัครสมาชิก"
"Subscribed","Subscribed"
"Subscriber","ผู้สมัครสมาชิก"
"Subscribers","ผู้สมัครสมาชิก"
"Subscribers From","ผู้สมัครสมาชิกจาก"
"Subscription Options","ตัวเลือกการสมัครสมาชิก"
"Success Email Sender","ส่งอีเมล์สำเร็จ"
"Success Email Template","เทมเพลตอีเมล์สำเร็จ"
"Template Content","เนื้อหาเทมเพลต"
"Template Information","ข้อมูลเทมเพลต"
"Template Name","ชื่อเทมเพลต"
"Template Subject","หัวข้อเทมเพลต"
"Template Type","ประเภทเทมเพลต"
"Thank you for your subscription","ขอบคุณที่สมัครสมาชิกกับเรา"
"The subscription was successfully saved","บันทึกการสมัครสมาชิกแล้ว"
"There was a problem with the subscription","มีปัญหาเกี่ยวกับการเป็นสมาชิก"
"There was a problem with the subscription: %s","พบปัญหากับการสมัครสมาชิก: %s"
"There was a problem with the un-subscription.","มีปัญหาเกี่ยวกับการยกเลิกการเป็นสมาชิก."
"There was an error while saving your subscription","พบความผิดพลาดขณะบันทึกการสมัครสมาชิกของคุณ"
"Toggle Editor","ส่วนแก้ไข Toggle"
"Type","ประเภท"
"Unsubscribe","ยกเลิกการเป็นสมาชิก"
"Unsubscribe Selected","ยกเลิกการเป็นสมาชิกของที่เลือก"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","ผู้ส่งอีเมล์ยกเลิกการสมัครสมาชิก"
"Unsubscription Email Template","เทมเพลตอีเมล์ยกเลิกการเป็นสมาชิก"
"View Newsletter","ดูจดหมายข่าว"
"Website","เว็บไซต์"
"You have been successfully unsubscribed.","ยกเลิกการเป็นสมาชิกเรียบร้อยแล้ว"
"Your subscription was successfully confirmed","ยืนยันการสมัครสมาชิกของคุณแล้ว"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
