"Add Recipient","เพิ่มผู้รับ"
"Allow for Guests","อนุญาตสำหรับผู้เยี่ยมชม"
"Email Address","อีเมลล์"
"Email Address:","อีเมลล์:"
"Email templates","เทมเพลตอีเมลล์"
"Email to a Friend","อีเมลล์ไปให้เพื่อน"
"Email:","อีเมลล์:"
"Enabled","เปิดการใช้งานแล้ว"
"Limit Sending By","จำกัดการส่งโดย"
"Link to a friend was sent.","ลิงค์ไปให้เพื่อนถูกส่งไปแล้ว"
"Max Products Sent in 1 Hour","จำนวนสินค้าสูงสุดที่ส่งไปภายใน 1 ชั่วโมง"
"Max Recipients","จำนวนผู้รับสูงสุด"
"Maximum %d email addresses allowed.","จำนวนอีเมลล์สูงสุดที่อนุญาต %d อีเมลล์"
"Message:","ข้อความ:"
"Name","ชื่อ"
"Name:","ชื่อ:"
"Recipient:","ผู้รับ:"
"Remove Email","ลบอีเมลล์ออก"
"Select email template","เลือกเทมเพลตอีเมลล์"
"Send email","ส่งอีเมลล์"
"Send product to a friend","ส่งสินค้าไปให้เพื่อน"
"Sender:","ผู้ส่ง:"
"Some emails was not sent","บางอีเมลล์ไม่ได้ส่ง"
"Some problems with data.","บางข้อมูลมีปัญหา"
"You cannot email this product to a friend","คุณไม่สามารถส่งอีเมลล์สินค้านี้ไปหาเพื่อน"
"You cannot send more than %d times in an hour","คุณไม่สามารถส่งมากกว่า %d ครั้งใน 1 ชั่วโมง"
