"Action","การกระทำ"
"All types","ทุกประเภท"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","ไฟล์สำรองไม่มีอยู่"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","สำรองข้อมูล"
"Cannot read backup file","ไม่สามารถอ่านไฟล์สำรองข้อมูล"
"Create Backup","สร้างการสำรองข้อมูล"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","ดาวน์โหลด"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","ไฟล์ถูกบีบอัดด้วย Zlib, แต่ extension นี้ไม่ได้ติดตั้งบน เซิร์ฟเวอร์"
"Size, byte","Size, byte"
"Time","เวลา"
"Type","ประเภท"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","คำสั่งการสร้างผิดสำหรับการสำรองข้อมูลใหม่"
