"* Required Fields","* ฟิลด์ที่จำเป็น"
"A new password was sent","ส่งรหัสผ่านใหม่ไปแล้ว"
"Account Dashboard","แผงควบคุมบัญชีผู้ใช้"
"Account Information","ข้อมูลบัญชีผู้ใช้"
"Account Sharing Options","ตัวเลือกการใช้บัญชีร่วม"
"Account information was successfully saved","บันทึกข้อมูลบัญชีผู้ใช้แล้ว"
"Action","การกระทำ"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add New Customer","เพิ่มลูกค้าใหม่"
"Add New Customer Group","เพิ่มกลุ่มลูกค้าใหม่"
"Added From","เพิ่มจาก"
"Additional Address Entries","รายการที่อยู่เพิ่มเติม"
"Address","ที่อยู่"
"Address Book","สมุดที่อยู่"
"Address Information","ข้อมูลที่อยู่"
"Addresses","ที่อยู่"
"Admin","ผุ้ดุแลระบบ"
"All","ทั้งหมด"
"All Store Views","ทุกมุมมองร้านค้า"
"All countries","ทุกประเทศ"
"Always optional","Always optional"
"Amount","จำนวน"
"Approved","อนุมัติแล้ว"
"Are you sure that you want to remove this item?","คุณแน่ใจว่าต้องการลบรายการสินค้านี้ออก?"
"Are you sure you want to cancel adding of this address?","คุณแน่ใจว่าต้องการยกเลิกการเพิ่มที่อยู่นี้?"
"Are you sure you want to delete this address?","คุณแน่ใจว่าต้องการลบที่อยู่นี้?"
"Are you sure?","คุณแน่ใจ?"
"Array of Entity collections is expected","ระบบต้องการข้อมูล Array ของการรวบรวม Entity "
"Assign a customer group","กำหนดกลุ่มลูกค้า"
"Average Sale","ยอดขายเฉลี่ย"
"Back","กลับ"
"Back to Login","กลับไปยังหน้าเข้าสู่ระบบ"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","ข้อมูลการออกใบเสร็จ"
"Bought From","ซื้อมาจาก"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","เมื่อคุณสร้างบัญชีผู้ใช้กับร้านของเรา คุณจะสามารถใช้บริการขั้นตอน Checkout ได้รวดเร็วขึ้น เก็บข้อมูลที่อยู่สำหรับจัดส่งสินค้าได้หลายที่อยู่ เรียกดูและติดตามออเดอร์ของคุณผ่านบัญชีผู้ใช้ของคุณรวมไปถึงได้สิทธิพิเศษอีกมากมาย."
"CSV","CSV"
"Can't save address","ไม่สามารถบันทึกที่อยู่"
"Can't save customer","ไม่สามารถบันทึกลูกค้า"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","ยกเลิก"
"Change Account Password","เปลี่ยนแปลงรหัสผ่านบัญชีผู้ใช้"
"Change Billing Address","เปลี่ยนแปลงที่อยู่สำหรับออกใบเสร็จ"
"Change Password","เปลี่ยนแปลงรหัสผ่าน"
"Change Shipping Address","เปลี่ยนแปลงที่อยู่สำหรับจัดส่งสินค้า"
"City","เมือง"
"Company","บริษัท"
"Config","ตั้งค่า"
"Confirm New Password","ยืนยันรหัสผ่านใหม่"
"Confirm Password","ยืนยันรหัสผ่าน"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","ข้อมูลติดต่อ"
