"Add Recipient","Додади примач"
"Allow for Guests","Дозволи за гости"
"Email Address","Адреса на епошта"
"Email Address:","Адреса на епошта:"
"Email templates","Урнек на епошта"
"Email to a Friend","Испрати на пријател"
"Email:","Епошта:"
"Enabled","Овозможено"
"Limit Sending By","Ограничи го испраќањето по"
"Link to a friend was sent.","Врската е испратена на пријателот."
"Max Products Sent in 1 Hour","Максимален број на производи испратени за 1 час"
"Max Recipients","Максимален број на примачи"
"Maximum %d email addresses allowed.","Максимално %d епошти се дозволени."
"Message:","Порака:"
"Name","Име"
"Name:","Име:"
"Recipient:","Примач:"
"Remove Email","Отстрани епошта"
"Select email template","Избери урнек за епоштата"
"Send email","Испрати епошта"
"Send product to a friend","Испрати го производот на пријател"
"Sender:","Испраќач:"
"Some emails was not sent","Некој од епоштите не се испратени"
"Some problems with data.","Проблеми со податоците."
"You cannot email this product to a friend","Не може да го испратите овој производ на пријател"
"You cannot send more than %d times in an hour","Не може да испраќате пвеќе од %d пати на час"
