"1 star","1 ѕвездичка"
"2 stars","2 ѕвездички"
"3 stars","3 ѕвездички"
"4 stars","4 ѕвездички"
"5 stars","5 ѕвездички"
"Add New Rating","Додади ново рангирање"
"Assigned Options","Назначени опции"
"Be the first to review this product","Бидете први што ќе го рецензирате производот"
"Default Value","Вообичаена вредност"
"Delete Rating","Избриши рангирање"
"Edit Rating","Уреди рангирање"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Manage Ratings"
"New Rating","Ново рангирање"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Информации за рангирањето"
"Rating Name","Назив на рангирањето"
"Rating Options","Опции за рангирање"
"Rating Title","Назив на рангирањето"
"Rating Visibility","Видливост на рангирањето"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Rating with the same title"
"Save Rating","Зачувај го рангирањето"
"Visible In","Видливо во"
