"1 star","       * (1)"
"2 stars","      * * (2)"
"3 stars","     * * * (3)"
"4 stars","    * * * * (4)"
"5 stars","   * * * * * (5)"
"Add New Rating","Dodaj novu ocjenu"
"Assigned Options","Pridruženi uvjeti"
"Be the first to review this product","Prvi recenzirajte ovaj proizvod"
"Default Value","Zadana vrijednost"
"Delete Rating","Obriši ocjenu"
"Edit Rating","Ažuriraj ocjenu"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Upravljaj ocjenjivanjem"
"New Rating","Nova ocjena"
"Option Label","Option Label"
"Option Title","Naziv opcije"
"Option Title:","Naziv opcije:"
"Please select one of each ratings above","Molimo odaberite po jednu od gore navedenih ocjena"
"Rating Information","Informacije o ocjeni"
"Rating Name","Ime ocjene"
"Rating Options","Opcije ocjene"
"Rating Title","Naslov ocjene"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Ocjenjivanje nije omogućeno"
"Rating with the same title","Ocjena sistim nazivom"
"Save Rating","Spremi ocjenu"
"Visible In","Vidljivo u"
