"Action","Akcija"
"All types","Sve vrste"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Sigurnosna kopija na postoji"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Sigurnosne kopije"
"Cannot read backup file","Ne mogu pročitati sigurnosnu kopiju"
"Create Backup","Napravi sigurnosnu kopiju"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Preuzmi"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Dokument je kompresiran sa Zlib, ali ova ekstenzija nije instalirana na serveru"
"Size, byte","Size, byte"
"Time","Vrijeme"
"Type","Tip"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Krivi redoslijed kreiranja sigurnosne kopije"
