"Add Recipient","Dodaj primatelja"
"Allow for Guests","Dopusti pristup gostima"
"Email Address","Email adresa"
"Email Address:","Email adresa:"
"Email templates","Email predlošci"
"Email to a Friend","Pošaljite email prijatelju"
"Email:","Email:"
"Enabled","Omogućeno"
"Limit Sending By","Ograniči slanje"
"Link to a friend was sent.","Link je poslan prijatelju."
"Max Products Sent in 1 Hour","Najviše proizvoda poslanih u roku 1 sat"
"Max Recipients","Najviše primatelja"
"Maximum %d email addresses allowed.","Dozvoljeno je najviše %d email adresa."
"Message:","Poruka:"
"Name","Ime"
"Name:","Ime:"
"Recipient:","Primatelj:"
"Remove Email","Uklonite email"
"Select email template","Odaberite email predložak"
"Send email","Pošaljite email"
"Send product to a friend","Pošaljite proizvod prijatelju"
"Sender:","Pošiljatelj:"
"Some emails was not sent","Neke poruke nisu poslane"
"Some problems with data.","Postoje problemi s podacima."
"You cannot email this product to a friend","Ne možete poslati prijatelju poruku s ovim proizvodom"
"You cannot send more than %d times in an hour","Možete poslati najviše %d preporuka u roku od sat vremena"
