"Alert Email Sender","Upozori pošiljatelja email-a"
"Alert subscription was deleted successfully","Pretplata na newsletter je uspješno obrisana"
"Alert subscription was saved successfully","Pretplata na newsletter je uspješno spremljena"
"Allow alert when product comes back in stock","Dozvoli upozorenje kad proizvod opet bude dostupan"
"Allow alert when product price changes","Dozvoli upozorenje kad cijena proizvoda bude promijenjena"
"Click here not to receive alerts for this product","Klikni ovdje da ne primate upozorenja o proizvodu"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Frequency","Učestalost"
"Not enough parameters","Nema dovoljno parametara"
"Please try again later","Molim, pokušajte ponovo kasnije"
"Price alert Email Template","Email predložak o promjeni cijene"
"Price:","Cijena:"
"Product Alerts","Upozorenja o proizvodima"
"Product Alerts Run Settings","Postavke rada upozorenja o proizvodima"
"Product alerts Cron error","Product alerts Cron error"
"Product not found","Proizvod nije pronađen"
"Product price alert","Upozorenja o cijeni proizvoda"
"Product stock alert","Upozorenje o dostupnosti proizvoda"
"Sign up for price alert","Predbilježite se za obavjesti o promjeni cijena proizvoda"
"Sign up to get notified when this product is back in stock","Predbilježite se za obavjesti o ponovnoj dostupnosti proizvoda"
"Special price:","Specijalna cijena:"
"Start Time","Početno vrijeme"
"Stock alert Email Template","Email predložak upozorenja o dostupnosti proizvoda"
"Unsubscribe from all price alerts","Ukini primanje upozorenja o cijenama"
"Unsubscribe from all stock alerts","Ukini primanje upozorenja o dostupnosti"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Primate ovu obavijest jer ste se prijavili na primanje upozorenja o ponovnoj dostupnosti proizvoda:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Primate ovu obavijest jer ste se prijavili na primanje upozorenja o promjeni cijena slijedećih proizvoda:"
"You will no longer receive price alerts for this product","Više nećete primati upozorenja o promjeni cijene za ovaj proizvod"
"You will no longer receive stock alerts","Više nećete primati upozorenja o dostupnosti proizvoda"
"You will no longer receive stock alerts for this product","Više nećete primati upozorenja o dostupnosti proizvoda za ovaj proizvod"
