"--Please Select--","--Molim odaberite--"
"<label>Make Check payable to:</label> %s","<label>Omogućite naplatu čeka za</label> %s"
"<label>Make Check payable to</label>: %s","<label>Omogućite naplatu čeka za:</label> %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Ne mogu konfigurirati za tip plaćanja s kodom: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Kontrolni broj kartice"
"Check / Money order","Ček / novčana uputnica"
"Credit Card Number","Broj kreditne kartice"
"Credit Card Number: %s","Broj kreditne kartice: %s"
"Credit Card Number: xxxx-%s","Broj kreditne kartice:: xxxx-%s"
"Credit Card Type","Vrsta kreditne kartice"
"Credit Card Type: %s","Vrsta kreditne kartice: %s"
"Credit Card Types","Vrste kreditnih kartica"
"Credit Card Verification","Provjera kreditne kartice"
"Enabled","Omogućeno"
"Expiration Date","Datum isteka"
"Expiration Date: %s/%s","Datum isteka: %s/%s"
"Make Check payable to","Ček naplativ za"
"Make Check payable to: %s","Ček naplativ za: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","Mjesec"
"Name on Card","Ime na  kartici"
"Name on the Card: %s","Ime na kartici: %s"
"New order status","Status nove narudžbe"
"Payment Methods","Načini plaćanja"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Plaćanje iz određenih zemalja"
"Payment from applicable countries","Plaćanje iz postavljenih zemalja"
"Purchase Order Number","Broj narudžbenice"
"Purchase Order Number: %s","Broj narudžbenice: %s"
"Purchase order","Narudžbenica"
"Saved CC","Kreditne kartice (offline)"
"Send Check to","Pošalji ček na"
"Send Check to:","Pošalji ček na:"
"Sort order","Redosljed sortiranja"
"Title","Naslov"
"What is this?","Što je to?"
"Year","Godina"
"Zero Subtotal Checkout","Kupovina bez iznosa"
