"%s already exist","%s već postoji"
"%s already exists","%s već postoji"
"-- Please Select --","-- Molim odaberite --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Dodaj kod trgovine u URL"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Napredno"
"Allow countries","Dozvoli ove zemlje"
"Allowed IPs (comma separated)","Dozvoljene ove IP adrese (odvojeno zarezom)"
"Are you sure?","Jeste li sigurni?"
"Back","Natrag"
"Backup options","Backup options"
"Base JavaScript URL","Osnovni JavaScript URL"
"Base Link URL","Osnovni Link URL"
"Base Media URL","Osnovni Media URL"
"Base Skin URL","Osnovni Skin URL"
"Base URL","Osnovni URL"
"Before modifying the store view code please make sure that it is not used in index.php","Prije izmjene store view koda, molim provjerite da nije korišten u index.php"
"Before modifying the website code please make sure that it is not used in index.php","Prije izmjene website koda, molim provjerite da nije korišten u index.php"
"Block with name ""%s"" already exists","Blok s imenom ""%s"" već postoji"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Nemogu dohvatiti traﾞeni objekt"
"Can't retrieve entity config: %s","Ne mogu dohvatiti konfiguraciju entiteta: %s"
"Cancel","Odustani"
"Cannot Delete Email Template","Ne mogu obrisati email predložak"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Kod"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Kontroler datoteka je učitana ali klasa ne postoji"
"Cookie Domain","Cookie domena"
"Cookie Lifetime","Cookie životni vijek"
"Cookie Path","Cookie staza"
"Copyright","Copyright"
"Countries options","Opcije odabira zemalja"
"Create Store","Kreiraj trgovinu"
"Create Store View","Kreiraj izlog trgovine"
"Create Website","Kreiraj web stranicu"
"Current package name","Trenutno ime paketa"
"Custom Design","Prilagođen dizajn"
"Custom admin URL","Custom admin URL"
"Custom email 1","Prilagođen email 1"
"Custom email 2","Prilagođen email 2"
"Customer support","Podrška kupcu"
"Date From","Datum od"
"Date To","Datum do"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","Standardno"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Osnovne stranice"
"Default Robots","Default Robots"
"Default Store","Osnovna trgovina"
"Default Store View","Osnovni izlog trgovine"
"Default Title","Default Title"
"Default country","Osnovna zemlja"
"Default no-route url","Osnovni no-route url"
"Default web url","Osnovni web url"
"Delete","Obriši"
"Delete Store","Obriši trgovinu"
"Delete Store View","Obriši izlog trgovine"
"Delete Website","Obriši webstranicu"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Dizajn"
"Design Change","Promjena dizajna"
"Developer","Developer"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable email communications","Onemogući email komunikaciju"
"Disable modules output","Onemogući izlaz modula"
"Duplicate Of Template Code","Duplikat template koda"
"Edit Design Change","Edit Design Change"
"Edit Store","Izmjeni trgovinu"
"Edit Store View","Izmjeni izlog trgovine"
"Edit Website","Izmjeni web stranicu"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enabled","Omogućeno"
"Enabled for Admin","Omogućeno za Admin-a"
"Enabled for Frontend","Omogućeno za vanjsko sučelje"
