"Actions","Akcije"
"Add Answer","Dodaj odgovor"
"Add New Answer","Dodaj novi odgovor"
"Add New Poll","Dodaj novu anketu"
"Answer Title","Naslov odgovora"
"Answer Title:","Naslov odgovora:"
"Answer was successfully saved","Odgovor je uspješno snimljen"
"Answer with the same title in this poll","Odgovor s istim nazivom u ovoj anketi"
"Are you sure you want to delete it?","Jeste li sigurni da ovo želite obrisati?"
"Assigned Answers","Dodijeljeni odgovori"
"Closed","Zatvoreno"
"Community Poll","Anketa"
"Date Closed","Datum zatvaranja"
"Date Posted","Datum postavljanja"
"Delete","Obriši"
"Delete Answer","Obriši odgovor"
"Delete Poll","Obriši anketu"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Ažuriraj odgovor '%s'"
"Edit Poll '%s'","Ažuriraj anketu '%s'"
"Edit Poll Answer","Preuredi odgovore u anketi"
"ID","ID"
"Invalid Answer","Neispravan odgovor"
"New Poll","Nova anketa"
"Number of Responses","Broj odgovora"
"Open","Otvoreno"
"Poll Answers","Odgovori na anketu"
"Poll Information","Informacije o anketi"
"Poll Manager","Upravljanje anketom"
"Poll Question","Anketno pitanje"
"Poll information","Informacije o anketi"
"Poll not exists","Anketa ne postoji"
"Poll with the same question","Anketa s istim pitanjem"
"Save Answer","Snimi odgovor"
"Save Poll","Snimi anketu"
"Status","Status"
"Unable to find answer to delete.","Nema odgovora koji želite brisati."
"Visible In","Visible In"
"Vote","Glasanje"
"Votes Count","Broj glasova"
"Votes Count:","Broj glasova:"
