"-- Please Select --","-- Molim odaberite --"
"Add New Class","Dodaj novu grupu"
"Add New Tax Rate","Dodaj novu poreznu stopu"
"Add New Tax Rule","Dodaj novo porezno pravilo"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Da li ste sigurni da to želite napraviti?"
"Back","Nazad"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Naziv grupe"
"Code","Code"
"Country","Zemlja"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Okrug"
"Custom price if available","Custom price if available"
"Customer Tax Class","Porezna grupa kupca"
"Customer Tax Class Information","Podaci o poreznoj grupi kupca"
"Customer Tax Classes","Porezne grupe kupca"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Obriši grupu"
"Delete Rate","Obriši stopu"
"Delete Rule","Obriši pravilo"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Ažuriraj grupu"
"Edit Class '%s'","Ažuriraj grupu '%s'"
"Edit Rule","Ažuriraj pravilo"
"Edit Tax Rate","Ažuriraj poreznu stopu"
"Error while deleting this class. Please try again later.","Greška prilikom brisanja ove grupe. Molim pokušajte ponovo kasnije."
"Error while deleting this rate. Incorrect rate ID","Greška prilikom upisa ove porezne stope. Nepravilan ID stope"
"Error while deleting this rate. Please try again later.","Greška prilikom brisanja ove porezne stope. Molim pokušajte ponovo kasnije."
"Error while deleting this tax rule. Please try again later.","Greška prilikom brisanja ovog poreznog pravila. Molim pokušajte ponovo kasnije."
"Error while saving this rate. Please try again later.","Greška prilikom spremanja porezne stope. Molim pokušajte ponovo kasnije."
"Error while saving this tax class. Class with the same name ","Greška prilikom spremanja porezne grupe. Grupa s istim imenom "
"Error while saving this tax class. Please try again later.","Greška prilikom spremanja porezne grupe. Molim pokušajte ponovo kasnije."
"Error while saving this tax rule. Please try again later.","Greška prilikom spremanja ovog poreznog pravila. Molim pokušajte ponovo kasnije."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Bez poreza"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Izvezi porezne stope"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Uvezi / Izvezi porezne stope"
"Import Tax Rates","Uvezi porezne stope"
"Inc. Tax","Uklj. porez"
"Incl. Tax","Uklj. porez"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Neispravno unešen podatak za stopu"
"Invalid data for tax rate calculation","Neispravan podatak za obračun porezne stope"
"Invalid file format upload attempt","Pokušaj unosa datoteke nepravilnog formata"
"Invalid file upload attempt","Pokušaj unosa nepravilne datoteke"
"Manage Customer Tax Classes","Uredi porezne grupe kupca"
"Manage Product Tax Classes","Uredi porezne grupe proizvoda"
"Manage Tax Rates","Uredi porezne stope"
"Manage Tax Rules","Uredi porezna pravila"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Nova grupa"
"New Rule","Novo pravilo"
"New Tax Rate","Nova porezna stopa"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Molim odaberite zemlju"
"Please select County","Molim odaberite zemlju"
"Please select State","Molim odaberite županiju"
"Priority","Priority"
"Product Tax Class","Porezna grupa proizvoda"
"Product Tax Class Information","Podaci o poreznoj grupi proizvoda"
"Product Tax Classes","Porezne grupe proizvoda"
"Rate","Rate"
"Reset","Resetiraj"
"Sales","Prodaja"
"Save Class","Spremi grupu"
"Save Rate","Spremi poreznu stopu"
"Save Rule","Spremi pravilo"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","Županija"
"State/Region","Županija/regija"
"Tax","Porez"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Porezna stopa"
"Tax Rate Information","Podaci o poreznoj stopi"
"Tax Rule Information","Podaci o poreznom pravilu"
"Tax Rules","Porezna pravila"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Porezna grupa je uspješno obrisana"
"Tax class was successfully saved","Porezna grupa je uspješno spremljena"
"Tax rate was successfully deleted","Porezna stopa je uspješno obrisana"
"Tax rate was successfully imported","Porezna stopa je uspješno uvezena"
"Tax rate was successfully saved","Porezna stopa je uspješno spremljena"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Porezno pravilo je uspješno obrisano"
"Tax rule was successfully saved","Porezno pravilo je uspješno spremljeno"
"This class no longer exists","Ova grupa više ne postoji"
"This rule no longer exists","Ovo pravilo više ne postoji"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Ne možete obrisati ovu poreznu grupu jer se koristi za %d grupe kupaca."
"You cannot delete this tax class as it is used for %d products.","Ne možete obrisati ovu poreznu grupu jer se koristi za %d proizvoda."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Ne možete obrisati ovu poreznu grupu jer se koristi u poreznim pravilima. Morate najprije obrisati pravila gdje se ta porezna grupa koristi."
"Zip/Post Code","Poštanski broj"
