"Billing Information","Podaci o plaćanju"
"Change Payment Method","Promijeni način plaćanja"
"Change Shipping Address","Promijeni adresu primatelja"
"Edit Shopping Cart","Ažuriraj košaricu"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Artikli u vašoj košarici"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal račun"
"PayPal Email","PayPal email"
"Payment Method","Način plaćanja"
"Place an Order","Pošalji narudžbu"
"Please select a shipping method...","Molimo odaberite način dostave..."
"Price","Cijena"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Review Order","Pregledaj narudžbu"
"Shipping Address","Adresa dostave"
"Shipping Information","Podaci o dostavi"
"Shipping Method","Način dostave"
"Sorry, no quotes are available for this order at this time.","Žao nam je, za sada nema izračuna za taj način dostave"
"Submitting order information...","Šaljem podatke o narudžbi..."
"Subtotal","Podsuma"
"Update Shipping Method","Ažuriraj način dostave"
"You will be redirected to PayPal website when you place an order.","Bit ćete preusmjereni na PayPal web stranicu kada postavite narudžbu."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Vaša adresa plaćanja će biti ignorirana i bit ćete preusmjereni na PayPal web stranicu"
