"* Required Fields","* Obavezna polja"
"Add","Dodaj"
"Add Gift Message","Dodaj poruku o poklonu"
"Allow Gift Messages for Order Items","Dozvoli poruku o poklonu za artikle"
"Allow Gift Messages on Order Level","Dozvoli poruku o poklonu na nivou narudžbe"
"Are you sure?","Jeste li sigurni?"
"Cancel","Odustani"
"Check this checkbox if you want to add gift messages to your items.","Odaberite ovaj checkbox ako želite dodati poruke o poklonu uz artikle."
"Check this checkbox if you want to add gift messages.","Odaberite poruku o poklonu ako želite dodati poruku o poklonu."
"Close","Zatvori"
"Do you have any gift items in your order?","Imate li kakvih poklon-artikala u vašoj narudžbi?"
"Edit","Editiraj"
"Edit Gift Message","Editiraj poruku o poklonu"
"Enter a gift message for each item in your order.","Ubaci poruku o poklonu za svaki artikl u narudžbi."
"Enter a gift message for entire order.","Ubaci poruku o poklonu za čitavu narudžbu."
"Enter a gift message for this address.","Ubaci poruku o poklonu za tu adresu."
"Error while saving gift message","Greška pri spremanju poruke o poklonu"
"From","Od"
"Gift Message","Poruka o poklonu"
"Gift Messages","Poruke o poklonu"
"Gift message has been successfully saved","Poruka o poklonu je uspješno spremljena"
"Item %d of %d","Stavka %d od %d"
"Message","Poruka"
"No","Ne"
"Remove","Ukloni"
"Save","Spremi"
"Save Gift Message","Spremi poruku o poklonu"
"To","Za"
"Unknown entity type","Nepoznat tip entiteta"
"Use config","Use config"
"Yes","Da"
"You can leave a box blank if you don't wish to add a gift message for the item.","Možete ostaviti neoznaćeno ako ne želite poruku o poklonu uz artikl."
"You can leave a box blank if you don't wish to add a gift message for this address.","Možete ostaviti neoznačeno ako ne želite poruku o poklonu uz ovu adresu."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Možete ostaviti neoznačeno ako ne želite poruku o poklonu za čitavu narudžbu."
"Your gift message has been successfully removed","Vaša poruka o poklonu je uspješno uklonjena"
"Your gift message has been successfully saved","Vaša poruka o poklonu je uspješno spremljena"
"Your gift message successfully removed","Vaša poruka o poklonu je uspješno uklonjena"
"Your gift message successfully saved","Vaša poruka o poklonu je uspješno spremljena"
