"(eg: domain.com/identifier)","(npr: domena.com/identifikator)"
"Action","Akcija"
"Add New Block","Dodaj novi blok"
"Add New Page","Dodaj novu stranicu"
"All countries","Sve zemlje"
"Block Information","Blok info"
"Block Title","Naslov bloka"
"Block was successfully deleted","Blok je uspješno obrisan"
"Block was successfully saved","Blok je uspješno spremljen"
"CMS","CMS"
"CMS Home Page","CMS početna stranica"
"CMS No Route Page","CMS No Route Page"
"Content","Sadržaj"
"Custom Design","Prilagođeni dizajn"
"Custom Theme","Prilagođena tema"
"Custom Theme From","Prilagođena tema iz"
"Custom Theme To","Prilagođena tema za"
"Customer Tax Class Information","Informacija o poreznoj klasi kupca"
"Date Created","Datum kreiranja"
"Delete Block","Obriši blok"
"Delete Page","Obriši stranicu"
"Description","Opis"
"Disabled","Onemogućeno"
"Edit Block","Uredi blok"
"Edit Block '%s'","Uredi blok '%s'"
"Edit Page","Uredi stranicu"
"Edit Page '%s'","Uredi stranicu %s'"
"Enabled","Omogućeno"
"General Information","Opće informacije"
"Go to Home Page","Idi na početnu stranicu"
"Home","Početna stranica"
"Identifier","Identifikator"
"Keywords","Ključne riječi"
"Last Modified","Posljednja modifikacija"
"Layout","Razmještaj"
"Layout Update XML","Layout Update XML"
"Manage Pages","Upravljanje stranicama"
"Meta Data","Meta podaci"
"Meta Description","Meta opis"
"Meta Keywords","Meta pojmovi"
"New Block","Novi blok"
"New Page","Nova stranica"
"Page Identifier cannot consist only of numbers.","Identifikator stranice se ne može sastojati samo od brojki"
"Page Identifier for specified store already exist.","Identifikator stranice za naznačenu trgovinu već postoji"
"Page Information","Informacije o stranici"
"Page Status","Status stranice"
"Page Title","Naslov stranice"
"Page was successfully deleted","Stranica je uspješno obrisana"
"Page was successfully saved","Stranica je uspješno spremljena"
"Poll Manager","Upravljanje anketom"
"Product Tax Class Information","Informacije o poreznoj klasi proizvoda"
"SEF URL Identifier","SEF URL identifikator"
"Save Block","Spremi blok"
"Save Page","Spremi stranicu"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","Statički blokovi"
"Status","Status stranice"
"Store View","Izlog"
"Such a block identifier in selected store already exist.","Takav blok identifikator već postoji u naznačenoj trgovini"
"The page you are trying to save no longer exists","Stranicu koju pokušavate spremiti više ne postoji"
"This block no longer exists","Ovaj blok više ne postoji"
"This page no longer exists","Ova stranice više ne postoji"
"Title","Naslov bloka"
"Unable to find a block to delete","Nije moguće pronaći blok za brisanje"
"Unable to find a page to delete","Nije moguće pronaći stranicu za brisanje"
