"# of Use","# korištenja"
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Data Type for Saving in Database","Tip podataka za spremanje u bazu"
"Date","Datum"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Datum prijave"
"Date fields order","Date fields order"
"Datetime","Datetime"
"Decimal","Decimalni broj"
"Decimal Number","Decimalni broj"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Qty","Standardna količina"
"Default Values","Standardne vrijednosti"
"Default price","Standardna cijena"
"Default value","Standardna vrijednost"
"Delete","Obriši"
"Delete Attribute","Obriši atribut"
"Delete Attribute Set","Obriši set atributa"
"Delete Category","Obriši kategoriju"
"Delete Option","Obriši opciju"
"Delete Row","Delete Row"
"Delete Search","Obriši pretraživanje"
"Delete Selected Group","Obriši odabranu grupu"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Dizajn"
"Disabled","Onemogućeno"
"Display in Suggested Terms","Prikaži u predloženim uvjetima"
"Double click on a group to rename it","Dvostruko kliknite na grupu da bi ste je preimenovali"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Padajući"
"Duplicate","Iskopiraj"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Ažuriraj"
"Edit Attribute Set '%s'","Ažuriraj set atributa '%s'"
"Edit Product Attribute","Ažuriraj atribute proizvoda"
"Edit Product Attribute ""%s""","Ažuriraj atribute proizvoda ""%s"""
"Edit Search","Ažuriraj pretraživanje"
"Edit Search '%s'","Ažuriraj pretraživanje '%s'"
"Email","e-mail"
"Email to a Friend","Preporučite prijatelju"
"Empty","Prazno"
"Enabled","Omogućeno"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error while adding customers for %s alert. Message: %s","Greška prilikom dodavanja kupaca za %s upozorenje. Poruka: %s"
"Error while saving this group. Group with the same name already exists.","Greška prilikom snimanja ove grupe. Grupa s istim imenom već postoji."
"Error while saving this group. Please try again later.","Greška pri spremanju ove grupe. Molimo pokušajte opet kasnije."
"Exclude","Izostavi"
"Expand All","Expand All"
"Failed","Neuspjelo"
"Failed to move file: %s","Neuspjelo prebacivanje datoteke: %s"
"Feature Products","Predloženi proizvodi"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filterable (no results)","Selektivno (bez rezultata)"
"Filterable (with results)","Selektivno (s rezultatima)"
"Filters must be as array","Filters must be as array"
"First Name","Ime"
"Fixed","Fiksno"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Za internu upotrebu. Mora biti jedinstveno bez blenkova"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Vanjsko sučelje"
"Frontend Model","Model vanjskog sučelja"
"Frontend Properties","Svojstva vanjskog sučelja"
"Gallery","Galerija"
"General Information","Opće informacije"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Globalno izmjenjivo"
"Go to Home Page","Odi na početnu stranicu"
"Grid","tablično"
"Grouped Product","Grupirani proizvodi"
"Groups","Grupe"
"Home","Početna"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Slika"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Datoteka koja sadrži sliku nije pronađena"
"Image not exists","Slika ne postoji"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Tip slike i podaci moraju biti navedeni za svaki izlog trgovine."
"In Stock","Na skladištu"
"In stock","Na skladištu"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer","Cjelobrojna vrijednost"
"Integer Number","Cijeli broj"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Naveden je pogrešan set atributa, preskačem slog"
"Invalid block: %s","Neispravan blok: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Neispravan ID kategorije"
"Invalid image file type","Neispravan tip datoteke za sliku"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid product type specified, skipping the record","Naveden je neispravan tip proizvoda, preskačem slog"
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Inventory","Popis zaliha"
"Is Default","Standardno"
"Is Required","Is Required"
"Items %s to %s of %s total","Artikli %s do %s od %s ukupno"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikli koje ne želite prikazati u katalogu ili u rezultatima pretraživanja bi trebali imati status 'Onemogućen' u traženoj trgovini."
"Label","Labela"
"Last Name","Prezime"
"Last Notification","Zadnja napomena"
"Learn More","Detaljnije"
"Length of text is too long","Length of text is too long"
"Letters","Slova"
"Letters(a-zA-Z) or Numbers(0-9)","Slova(a-zA-Z) ili brojke(0-9)"
"Line %d, Email: %s","Linija %d, email: %s"
"Line %d, SKU: %s","Linija %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","redno"
"List Mode","List Mode"
"Manage Attribute Sets","Upravljaj setovima atributa"
"Manage Attributes","Upravljaj atributaima"
"Manage Catalog Categories","Upravljaj kategorijama kataloga"
"Manage Categories","Upravljaj kategorijama"
"Manage Label / Options","Upravljaj labelama / opcijama"
"Manage Options (values of your attribute)","Upravljaj opcijama (vrijednosti preddefiniranih atributa)"
"Manage Product Attributes","Upravljaj atributaima proizvoda"
"Manage Product Sets","Upravljaj setovima proizvoda"
"Manage Products","Upravljaj proizvodima"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Administrranje naslova (veličina, boja, itd.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Media Image"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Minimum Qty for Item's Status to be Out of Stock","Minimalna količina artikala za status: 'nema na skladištu'"
"Missing SKU, skipping the record","Nedostaje SKU, preskačem slog"
"More Views","Više pogleda"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Višestruko selektiranje"
"Name","nazivu"
"Name In %s","Ime u %s"
"Name<br/>(For internal use)","Naziv<br/>(za interno korištenje)"
"New Category","Nova kategorija"
"New Product","Novi proizvod"
"New Product Attribute","Novi atribut proizvoda"
"New Products","Novi proizvodi"
"New Search","Nova pretraga"
"New Set Name","Novo ime seta"
"Next","Slijedeći"
"No","Ne"
"No image","Nema slike"
"No layout updates","Nema obnova shema"
"No options of this product are available.","Ne postoje opcije za ovaj proizvod"
"No product collections found","Kolekcija proizvoda nisu pronađene"
"None","Nema"
"Not shared with other products","Nije dijeljeno s drugim proizvodima"
"Notify Low Stock RSS","RSS upozorenje niskih zaliha"
"Notify for Quantity Below","Upozori na količinu ispod"
"Nowhere","Nigdje"
"Number of Uses","Broj korištenja"
"Number of results<br/>(For last time placed)","Broj rezultata<br/>(zadnjih traženih)"
"OR","ILI"
"Old Price:","Stara cijena:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Opcija:"
"Options Control","Kontrola opcija"
"Options is required","Options is required"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Nema na skladištu"
"Out of stock","Nema na skladištu"
"Out of stock.","Nema na skladištu."
"PM","PM"
"Page Title Separator","Separator naslova stranice"
"Page:","Stranica:"
"Parent Category","Pretkategorija"
"Pending","U tijeku:"
"Pending Reviews RSS","RSS recenzija u tijeku"
"Percentage","Postotak"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Molim kliknite na Close Window gumb ako se ne prozor zatvori automatski"
"Please enter a new group name","Molim unesite novo ime grupe"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Molim odaberite jedan ili više atributa."
"Please select product(s)","Molim, odaberite proizvod(e)"
"Please select products for attributes update","Molim odaberite proizvode za ažuriranje atributa"
"Please select static block ...","Molim odaberite statički blok ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Pozicija"
"Position In Layered Navigation","Pozicija u shemi navigacije"
"Position of attribute in layered navigation block","Pozicija atributa u bloku sheme navigacije"
"Prev","Pret"
"Previous","Prethodni"
"Price","cijeni"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","Cijena:"
"Print This Page","Ispiši ovu stranicu"
"Problem saving the collection, aborting. Error: %s","Problem pri spremanju kolekcije, prekidam. Greška: %s"
"Product","Product"
"Product %s successfully added to compare list","Proizvod %s je uspješno dodan na usporednu listu"
"Product %s successfully removed from compare list","Proizvod %s je uspješno uklonjen sa usporedne liste"
"Product API","Product API"
"Product Alerts","Upozorenja o proizvodima"
"Product Attribute","Atribut proizvoda"
"Product Attributes","Atributi proizvoda"
"Product Categories","Kategorije proizvoda"
"Product Description","Opis proizvoda"
"Product Image Placeholders","Okvir za sliku proizvoda"
"Product Image Watermarks","Vodeni žig za slike proizvoda"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Proizvoda na web stranici"
"Product Info Column","Product Info Column"
"Product Information","Informacije o proizvodu"
"Product Name","Naziv proizvoda"
"Product Reviews","Recenzije proizvoda"
"Product Tags","Tagovi proizvoda"
"Product Tier Price API","Product Tier Price API"
"Product Type","Vrsta proizvoda"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Atribut proizvoda je uspješno obrisan"
"Product attribute was successfully saved","Atribut proizvoda je uspješno spremljen"
"Product attributes API","Product attributes API"
"Product collection expected","Product collection expected"
"Product deleted","Proizvod je obrisan"
"Product duplicated","Proizvod je kloniran"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Greška pri spremanju proizvoda."
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Proizvod je uspješno kreiran."
"Product was successfully saved.","Proizvod je uspješno spremljen."
"Product with this combination of attributes already associated to configurable.","Proizvod s takvom kombinacijom atributa je već označen kao konfigurabilan."
"Products","Proizvodi"
"Products Information","Informacije o proizvodi"
"Products Reviews","Recenzije proizvoda"
"Products Sitemap","Products Sitemap"
"Products only","Samo proizvodi"
"Products per Page on Grid default value","Proizvoda po stranici u standardnom tabličnom prikazu"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Proizvoda po stranici u standardnom rednom prikazu"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Svojstva"
"Qty","kol"
"Qty Uses Decimals","Kol koristi decimalnu vrijednost"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Brzo kreiranje"
"Quick Overview","Kratki opis"
"Quick simple product creation","Brzo kreiranje jednostavnog proizvoda"
"Records for ""","Slogovi za """
"Redirect","Redirekcija"
"Redirect URL","Redirekcija URL-a"
"Regular Price:","Standardna cijena:"
"Related Products","Slični proizvodi"
"Remove","Ukloni"
"Remove Product","Ukloni proizvod"
"Remove Product From Websites","Ukloni proizvod s web stranice"
"Remove This Item","Ukloni ovaj artikal"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Obavezno"
"Reset","Vrati u početno stanje"
"Results","Rezultati"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Recenzija je uspješno obrisana"
"Review was saved successfully","Recenzija je spremljena"
"Review was successfully saved","Recenzija je uspješno spremljena"
"Reviews","Recenzije"
"Roll Over for preview","Pređi preko mišem za pregled"
"Root","Root"
"SKU","SKU"
"Save","Spremi"
"Save And Continue Edit","Spremi i nastavi uređivati"
"Save Attribute","Spremi atribute"
"Save Attribute Set","Spremi set atributa"
"Save Category","Spremi kategoriju"
"Save Search","Spremi pretragu"
"Saved ","Spremljeno"
"Scope","Doseg"
"Search","Pretraga"
"Search Engine Optimizations","Optimiranje za programe za pretraživanje"
"Search Information","Informacije o pretrazi"
"Search Query","Upit pretrage"
"Search Term was successfully saved","Pretraga je uspješno spremljena"
"Search Term with such search query already exist.","Pretraga s takvim upitom već postoji."
"Search was successfully deleted","Pretraga je uspješno obrisana"
"Searchable","Pretraživo"
"Select Configurable Attributes ","Odaberite konfigurabilne atribute"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Odaberite vrste proizvoda"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Pošalji broj"
"Set Ascending Direction","Postavi rastućim redosljedom"
"Set Descending Direction","Postavi padajućim redosljedom"
"Set Name","Postavi ime"
"Set Root Category For Store","Postavi osnovnu kategoriju za trgovinu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Osnovna kategorija za ovu trgovinu u <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Postavke"
"Shop by","Kupuj po"
"Shopping Options","Dodaj uvjet prikaza"
"Show","Prikaži"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Jednostavni proizvod"
"Site Map","Mapa Web-a"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Preskoči uvoz sloga, neispravna vrijednost ""%s"" za polje ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Preskoči uvoz sloga, obavezna vrijednost ""%s"" za novog kupca nije definirana"
"Skip import row, required field ""%s"" for new products not defined","Preskoči uvoz sloga, obavezna vrijednost ""%s"" za novi proizvod nije definirana"
"Skip import row, required field ""%s"" not defined","Preskoči uvoz sloga, obavezna vrijednost ""%s"" nije definirana"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Sort Order","Poredak"
"Sort by","Poredaj po"
"Source Model","Izvorni model"
"Special Price:","Specijalna cijena:"
"Starting at:","Već po:"
"Static","Statičko"
"Static block and products","Statički blok i proizvodi"
"Static block only","Samo statički blok"
"Status","Status"
"Stock Availability","Dostupnost sa skladišta"
"Store","Trgovina"
"Store View","Izlog trgovine"
"Stretch","Raširi"
"Subscribe to Feed","Pretplaćen na RSS"
"Subscribe to RSS Feed","Pretplaćen na RSS"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Sinonim za"
"Synonym for","Sinonim za"
"System","Sistem"
"System Properties","Sistemska svojstva"
"Tag Name","Ime tag-a"
"Tax","Tax"
"Text","Tekst"
"Text Area","Tekst područje"
"Text Field","Tekst polje"
"There are no %s available.","Nema %s raspoloživih."
"There are no customers for this alert","Nema kupaca za to upozorenje"
"There are no products matching the selection.","Nema proizvoda koji odgovaraju odabiru."
"There was an error while adding products to websites","Dogodila se greška pri dodavanju proizvoda na web stranicu"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Dogodila se greška pri uklanjanju proizvoda s web stranice"
"There was an error while updating product(s) attributes","Dogodila se greška pri ažuriranju atributa proizvoda"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Ovaj atribut više ne postoji"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Ova grupa sadrži sistemske atribute. Molim premjestite sistemske atribute u drugu grupu i pokušajte ponovo."
"This is a required option","This is a required option"
"This search no longer exists","Ova pretraga više ne postoji"
"Tier Pricing","Određivanje uvjetnih cijena"
"Tile","Posloži"
"Time format","Time format"
"Title","Title"
"Top/Left","Gore/lijevo"
"Top/Right","Dolje/desno"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Ukupno %d slogova je obrisano"
"Total of %d record(s) were successfully updated","Ukupno %d slogova je ažurirano"
"Type","Vrsta"
"Unable to complete request. Please try again later.","Nije moguće izvršiti zahtjev. Molim pokušajte opet kasnije."
"Unable to find a search term to delete","Nije moguće pronaći pretragu za brisanje"
"Unable to find an attribute to delete","Nije moguće pronaći atribut za brisanje"
"Unable to get product id.","Nije moguće dohvatiti ID proizvoda."
"Unassigned Attributes","Nepridijeljeni atributi"
"Unique Value","Jedinstvena vrijednost"
"Unique Value (not shared with other products)","Jedinstvena vrijednost (ne postoji kod drugih proizvoda)"
"Unknown attribute: %s","Nepoznati atribut: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Ažuriraj atribute"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Upravljanje URL preusmjeravanjem"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Koristi konfiguracijske postavke"
"Use Default Value","Koristi standardne vrijednosti"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Koristi u strukturiranoj navigaciji"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Koristi u strukturiranoj navigaciji<br/>(Može se koristiti uz tip podataka 'Dropdown')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Koristi za kreiranje konfigurabilnih proizvoda"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Use categories path for product URLs"
"Use in advanced search","Koristi u naprednom pretraživanju"
"Use in quick search","Koristi u brzom pretraživanju"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Obavezni podaci"
"Varchar","Varchar"
"View as","Prikaži"
"Virtual Product","Virtual Product"
"Visibility","Vidljivost"
"Visible","Vidljiv"
"Visible on Catalog Pages on Front-end","Vidljiv u katalogu na vanjskom sučelju"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Vodeni žig"
"Watermark Default Size","Standardna veličina vodenog žiga"
"Watermark Position","Pozicija vodenog žiga"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Web stranica"
"Websites","Web stranice"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Da"
"Yes/No","Da/Ne"
"You cannot delete this attribute","Ne možete obrisati ovaj atribut"
